Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),50,0.8354503904018281,0.026434110153981255,0.9039772170235331,0.016105155751635254,0.9161974503289553,0.014762569741876128,0.8923911382734911,0.023893887961320994,0.7643638168925894,0.0567132844598537,0.3286002887015711,0.09709895552655812,acidic_group,non-polar_group,X5_K,531,629,828,6867,
Logistic Regression (All),50,0.8556713007046277,0.021309150906760537,0.9186410999488968,0.012283278676788693,0.9000987857973799,0.012223941219900903,0.9381444699091755,0.017861919636878106,0.7068297608898633,0.04809630039623885,0.2850166836454423,0.10595756112213604,peptide_len,X5_K,X5_N,358,802,476,7219,
SVM (All),50,0.8688897352885165,0.0031567841438090885,0.9298098848500155,0.0017733118442008094,0.869323398800146,0.0024457390190101977,0.9993498005262711,0.0023433924306648455,0.6490889884719807,0.0572783285661817,0.011987141367428981,0.04965844685047694,aliphatic_index,instability_index,isoelectric_point,4,1156,5,7690,
K-Neighbors (All),50,0.13167523646289597,0.0032004494242120632,0.002067867616254713,0.0047381021643810375,0.16,0.36660605559646714,0.0010406586877175113,0.002384459935793015,0.5812976856311256,0.04109466852192045,-0.0030175245193754248,0.04017059299106401,aliphatic_index,instability_index,isoelectric_point,1158,2,7687,8,
Decision Tree (All),50,0.7536792991811082,0.04260713733947923,0.8476685812566532,0.03038817666344778,0.9120160779890483,0.01755876511894867,0.793382565147271,0.0500755159311576,0.7019758132721688,0.062268865968913734,0.22542012031991462,0.09058528103027784,X5_K,acidic_group,non-polar_group,569,591,1590,6105,
Naive Bayes (All),50,0.8250688757696946,0.02500349014942906,0.8997602886040359,0.015080527621750698,0.8952730046783038,0.01267991840537816,0.9046201510907393,0.024384565461613276,0.6052449050546876,0.049519485208441946,0.20949830197611186,0.09657176150362308,aliphatic_index,instability_index,isoelectric_point,345,815,734,6961,
Random Forest (MW - inCV),50,0.8299219196343554,0.02609692398665866,0.90092518674045,0.015827225139599204,0.9114077667296171,0.01355834249123051,0.890966810966811,0.02383648626982178,0.7439358663975032,0.05663843826279378,0.29972345472171186,0.09435585578883444,hydrophobic_janin,hydrophobic_eisenberg,X5_K,493,667,839,6856,
Random Forest (Wilcoxon - inCV),50,0.8283393639306799,0.024967684678985268,0.8996383708475334,0.015425051846720368,0.9133875486492833,0.013126291939744286,0.8866768525592055,0.025149436805194755,0.7443507277746408,0.04972405800152894,0.3060003543116746,0.08736357106924354,hydrophobic_janin,hydrophobic_eisenberg,X5_K,512,648,872,6823,
Random Forest (Kruskal - inCV),50,0.8086948517742651,0.02580301325047746,0.8861109543998259,0.016608723978807076,0.9168077841335838,0.014999267053764599,0.8579687632628809,0.028061250970947745,0.737747838265741,0.05029246785733981,0.29522390349179106,0.08295691895586317,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,559,601,1093,6602,
Random Forest (Chi-square - inCV),50,0.8213451406081381,0.027603851994010553,0.8954486881661324,0.016905328441435764,0.9100489157474542,0.01557473260276317,0.8817349970291146,0.026528379003388333,0.7504778912003975,0.05547349913227978,0.28115639810539295,0.09931556171842341,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,488,672,910,6785,
Random Forest (KS - inCV),50,0.8238240335174253,0.0249025142199789,0.8972634691769824,0.015213426224119753,0.9087917083221915,0.014366613097869551,0.8864179611238434,0.02452830504362467,0.7446464692596405,0.05830549165788087,0.27740233592739005,0.09555956386907852,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,474,686,874,6821,
Logistic Regression (MW - inCV),50,0.7805713197486193,0.033375411030396984,0.8662049700541362,0.022522854207515618,0.9187751799910209,0.014483418408720366,0.8201476954418131,0.037303853137045484,0.73899761837102,0.06001505298330693,0.27574268749888003,0.0790798862036181,hydrophobic_janin,hydrophobic_eisenberg,X5_K,601,559,1384,6311,
Logistic Regression (Wilcoxon - inCV),50,0.776944708944328,0.03660111629567005,0.8632444331357851,0.02515944856869509,0.920545064994486,0.01358258425312913,0.8136338171632289,0.04144238130142954,0.7398103569491038,0.054007092063964326,0.2803819621651759,0.0771260974192392,hydrophobic_janin,hydrophobic_eisenberg,X5_K,619,541,1434,6261,
Logistic Regression (Kruskal - inCV),50,0.689544213800546,0.035956131137184426,0.793837287657133,0.028759781862780255,0.9354758470013187,0.017569011848885555,0.6907147101264749,0.042726323507911314,0.7477219998671406,0.0564542680077755,0.26320473333745437,0.06686485704568623,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,791,369,2380,5315,
Logistic Regression (Chi-square - inCV),50,0.7757163714847967,0.037743803497542944,0.8618019248910029,0.02623977092366925,0.9239753388450304,0.015695951802789213,0.8087123334182158,0.04425891235455569,0.7357568376494207,0.061422042681073936,0.2917372061767771,0.08316292698341161,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,646,514,1472,6223,
Logistic Regression (KS - inCV),50,0.7564070335809053,0.03134264319435922,0.8481707448500575,0.02214207227508899,0.9232290860923672,0.016802918944403087,0.785334012392836,0.03634320649145538,0.7348641035245894,0.06253321558753513,0.26978750080722824,0.07810372837562486,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,655,505,1652,6043,
SVM (MW - inCV),50,0.8012321462578555,0.027327816022496145,0.8813072287754607,0.017924073422066096,0.9143063664599215,0.012352291755870022,0.8512002376708259,0.030919895167710945,0.729072554801455,0.06300725913621498,0.27715705920666933,0.07354017343939918,hydrophobic_janin,hydrophobic_eisenberg,X5_K,545,615,1145,6550,
SVM (Wilcoxon - inCV),50,0.8002094839078271,0.03139580544991654,0.8799423921221721,0.02143411756205717,0.9178344478376139,0.012678145355572127,0.846121721415839,0.0396137756592097,0.7269999394136222,0.056813950162335,0.29185554584082124,0.06759163535485968,hydrophobic_janin,hydrophobic_eisenberg,X5_K,575,585,1184,6511,
SVM (Kruskal - inCV),50,0.7132533485685266,0.0375245845273388,0.8136489157929893,0.02925252720358062,0.9309665170423933,0.017075204879657056,0.7242483660130717,0.04783145466689558,0.7324185420764704,0.05459746998628039,0.26453033323949277,0.06670397160350186,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,743,417,2122,5573,
SVM (Chi-square - inCV),50,0.7989786072494127,0.032107625110977346,0.879518143232891,0.02155327032685552,0.9150748457575878,0.015008394453659445,0.8476911976911975,0.03928003687815467,0.7303089643850512,0.06488519274836349,0.27773194934804435,0.08343206978008234,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,552,608,1172,6523,
SVM (KS - inCV),50,0.7823843077509045,0.024458009450920193,0.8683607162115912,0.01611658028575118,0.9144082678231769,0.015052519808857925,0.8272981920040743,0.02749748722902881,0.7176628697152994,0.06461542127325173,0.25696920255071626,0.07636547325983009,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,562,598,1329,6366,
K-Neighbors (MW - inCV),50,0.6957500158699931,0.03599702006717392,0.8016892064102382,0.026718077390238924,0.9221885148237544,0.01676221089462711,0.7098225957049489,0.03782272217992767,0.7179922773896559,0.05660430896034221,0.22505112450573048,0.07338449535552509,hydrophobic_janin,hydrophobic_eisenberg,X5_K,699,461,2233,5462,
K-Neighbors (Wilcoxon - inCV),50,0.6923532025645909,0.03610743436183326,0.7983150096763602,0.027831135185615172,0.9247944776078799,0.016580909493857893,0.7034436805025039,0.04219513173855801,0.7179164436964948,0.04904254191259722,0.2310649692294793,0.06810923837219825,hydrophobic_janin,hydrophobic_eisenberg,X5_K,718,442,2282,5413,
K-Neighbors (Kruskal - inCV),50,0.6910042531581285,0.03674584628513488,0.7951258847237901,0.028858347412578648,0.9350523190025389,0.019167247465667895,0.6929106187929718,0.043132758136521294,0.7275242952912389,0.05660215296176184,0.26281345851792925,0.07131726263326803,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,787,373,2363,5332,
