Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),160.0,7.723469384046666e-07,-4.942228310237957,-0.6989366304682784,0.000169143979510622
Random Forest (All),SVM (All),11.0,1.462154377056417e-09,-6.048483671504398,-0.8553847640033732,4.7666232692039193e-07
Random Forest (All),K-Neighbors (All),0.0,7.534744968972034e-10,6.1544311458595535,0.8703679995165968,3.791298254797769e-07
Random Forest (All),Decision Tree (All),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Naive Bayes (All),451.0,0.07237748012944856,1.7967363826722527,0.2540968960384275,1.0
Random Forest (All),Random Forest (MW - inCV),437.0,0.05292836555618156,1.9355049195585274,0.2737217307279516,1.0
Random Forest (All),Random Forest (Wilcoxon - inCV),372.5,0.016969612038575856,2.387365474460186,0.3376244632322874,1.0
Random Forest (All),Random Forest (Kruskal - inCV),93.0,4.8571529021046445e-09,5.851993611327563,0.8275968732060146,1.4717173293377073e-06
Random Forest (All),Random Forest (Chi-square - inCV),192.0,2.8789331400735218e-05,4.182837390249768,0.5915425366492504,0.004894186338124987
Random Forest (All),Random Forest (KS - inCV),166.0,2.5342386645260312e-05,4.211728642245276,0.5956283766898491,0.0043588905029847734
Random Forest (All),Logistic Regression (MW - inCV),2.0,5.329070518200751e-15,7.818891055763057,1.1057581773777803,3.5491609651217004e-12
Random Forest (All),Logistic Regression (Wilcoxon - inCV),3.0,8.881784197001252e-15,7.754320376295517,1.0966265043143162,5.808686864838819e-12
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (Chi-square - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (KS - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (MW - inCV),14.0,2.6253872967106623e-09,5.953455833684866,0.8419457982986358,8.164954492770159e-07
Random Forest (All),SVM (Wilcoxon - inCV),50.0,2.2012913087401553e-08,5.595387830766063,0.7913073357006738,6.053551099035427e-06
Random Forest (All),SVM (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (Chi-square - inCV),42.0,9.000621086477699e-09,5.748560931011455,0.8129692832764506,2.610386264478848e-06
