,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (KS - inCV),0.25752557097028705,8.820854042867267e-11,1.0441763891231967e-19,2.9991369224013744e-237,9.971908031158427e-52,1.0,1.0,1.0,0.0026385472143946685,1.0,1.0,1.0484921524502992e-25,2.624902410864869e-26,4.5568442334205587e-150,1.996009984106195e-31,2.4606791727431986e-52,3.3300235665078473e-07,3.3300235665078473e-07,1.0460460836272613e-110,4.572758366206825e-07,6.106650128233367e-23,1.276909973566712e-134,8.795229412790324e-140,2.907559748449278e-150,2.6803834270730027e-115,9.248157672591257e-158,6.968178752403686e-37,1.5446394542305474e-52,1.080334605017645e-53,2.3684153573594423e-53,5.980182999745689e-57,8.575426469297182e-107,2.2816552501808967e-109,2.316208187101621e-168,5.191237885867943e-101,2.8698963742979423e-130,1.0,2.3462213047866804e-19,7.544454397539159e-214,9.024254165949725e-39,0.0010575214585424693,4.3485406538146195e-06,5.5191289876578016e-226,1.0,7.281298867176663e-216,8.614063889466899e-43
Logistic Regression (MW - inCV),1.1123233811450745e-41,1.7072867842484656e-68,1.4957713099198076e-86,1.708661296292982e-131,0.00032643394059652883,1.1239806888538987e-30,9.318973425212595e-35,6.072591627396538e-31,2.186644207678745e-09,5.284860090891765e-22,1.0484921524502992e-25,1.0,1.0,1.0617736790207767e-60,1.0,0.00020327302930114142,6.682351587263602e-05,6.682351587263602e-05,8.50711016241882e-34,5.053678919569272e-05,1.0,1.1616040386939273e-49,2.767506761987976e-53,7.6561727465565e-61,1.0298647900610137e-36,2.1366947588662086e-66,1.0,0.0001744754089068179,6.999051321811399e-05,9.223692338553354e-05,4.875112041523087e-06,2.2590123005725216e-31,5.8945767481009215e-33,1.8241896723087406e-74,7.006164171618218e-28,1.1758999207549822e-46,5.060224486122646e-32,6.797473175280065e-86,2.467611712034178e-111,1.0,3.9816225275009656e-50,4.341914650950902e-57,1.0682050376203136e-121,1.2703236750094553e-30,4.8743030691391895e-113,0.13739807346862926
Logistic Regression (Wilcoxon - inCV),2.0147289305662992e-42,2.1182843217775488e-69,1.5373566252628113e-87,2.3127830311697133e-130,0.0005942507588554174,2.556415502555046e-31,1.9239763286339852e-35,1.3730933190897767e-31,9.047369974930573e-10,1.4502770670914065e-22,2.624902410864869e-26,1.0,1.0,7.624466748759158e-60,1.0,0.0003787321406014372,3.4809907958554124e-05,3.4809907958554124e-05,4.0141054676392934e-33,2.6277638450522335e-05,1.0,7.170010821817847e-49,1.803120883201346e-52,5.499528938260556e-60,5.100854562265002e-36,1.6592959189385005e-65,1.0,0.00032643394059652883,0.00013398749842054376,0.0001744754089068179,9.900148315891104e-06,9.943974036650814e-31,2.6894128993212204e-32,1.5544978785301845e-73,2.8617337695790968e-27,6.912230571293977e-46,1.1130982843732505e-32,7.02024570227544e-87,2.9291581546312284e-110,1.0,6.350279240494944e-51,6.234016361999855e-58,1.3595952574681944e-120,2.8926855529685646e-31,5.827842251394612e-112,0.20972578996019528
Logistic Regression (Kruskal - inCV),7.996708385793027e-179,1.0838310026089519e-219,2.9121759867345515e-244,6.375490065637456e-17,1.8415813896765934e-32,1.5102772688859602e-159,5.916384076285755e-167,4.811425999816251e-160,2.0758236390278652e-112,1.4117695628851414e-142,4.5568442334205587e-150,1.0617736790207767e-60,7.624466748759158e-60,1.0,5.164000028151066e-53,5.720930566487704e-32,3.677609986696185e-98,3.677609986696185e-98,0.0010575214585424693,1.37120508812021e-98,7.640636522309185e-65,1.0,1.0,1.0,0.011264699179642445,1.0,1.3598848857220343e-46,8.315252319293614e-32,6.866633910929154e-31,3.694520387854417e-31,2.1377147480379633e-28,0.00011408162338607644,0.0005109753334239185,1.0,2.6783068667399777e-06,1.0,4.8684919266123e-162,2.1270304961309625e-243,5.20247307174704e-09,1.4981658713397222e-44,1.9578193223949097e-192,4.348615407589722e-203,7.802783660794948e-13,1.8974557783284052e-159,1.307621395117828e-09,1.8553212689067964e-40
Logistic Regression (Chi-square - inCV),1.1264928913283226e-48,5.70758580306372e-77,9.20814438981553e-96,3.0828334795267183e-121,0.04795113273855502,7.943439103147145e-37,2.991136719727801e-41,4.073898786321533e-37,3.963612934417353e-13,2.2630425811860525e-27,1.996009984106195e-31,1.0,1.0,5.164000028151066e-53,1.0,0.03312683190399781,8.393008189870042e-08,8.393008189870042e-08,7.006164171618218e-28,5.973347862194467e-08,1.0,1.3179248998416343e-42,5.149747203444465e-46,3.7842459352853995e-53,1.4355773093507113e-30,2.001009717152104e-58,1.0,0.02955339804087017,0.014554786006712936,0.017924663190341007,0.001705741227780601,1.1738685552258881e-25,4.07125916583671e-27,4.2385012518807156e-66,1.7985515008496995e-22,8.578911005955829e-40,2.701132524443773e-38,4.422223409515995e-95,1.2785156022975179e-101,1.0,1.1927041295024169e-57,5.460641310539415e-65,1.0830695537588845e-111,9.072229497493237e-37,2.814668228189395e-103,1.0
Logistic Regression (KS - inCV),3.760193844130588e-73,1.4758794075157055e-105,2.467082487668507e-126,4.07465788293345e-91,1.0,5.430684980974743e-59,2.4908857028680536e-64,2.4057400250401976e-59,2.4060096275678956e-28,3.0757137484681524e-47,2.4606791727431986e-52,0.00020327302930114142,0.0003787321406014372,5.720930566487704e-32,0.03312683190399781,1.0,1.645758909126442e-20,1.645758909126442e-20,8.4400162055265e-13,9.883301298098709e-21,8.855825968713197e-06,9.570382404860278e-24,2.0885125052104505e-26,4.465839587762672e-32,1.0238168931223423e-14,2.2980936476245102e-36,0.9664414352357117,1.0,1.0,1.0,1.0,2.980287864824427e-11,2.894815446044222e-12,9.926783158941617e-43,4.211617811856245e-09,1.3779866815502728e-21,9.023748080664769e-61,1.370849836776158e-125,1.852961865689059e-73,1.0,1.3040225290232642e-83,4.868623284022334e-92,1.7764004183339232e-82,6.387466701736493e-59,6.243275990179436e-75,1.0
SVM (MW - inCV),3.2951396350616595e-17,9.072229497493237e-37,4.0072059365931114e-51,4.1453287482349513e-178,4.150986270550229e-20,4.0540339041552655e-10,1.1729381859657005e-12,2.790377995896177e-10,1.0,3.4809907958554124e-05,3.3300235665078473e-07,6.682351587263602e-05,3.4809907958554124e-05,3.677609986696185e-98,8.393008189870042e-08,1.645758909126442e-20,1.0,1.0,1.2707226665180914e-64,1.0,0.001216322359525204,9.46252678616309e-85,3.379354337548339e-89,2.4835115953870628e-98,2.025244096503498e-68,6.093623269979995e-105,7.587479491623629e-11,1.2123529015830314e-20,2.089459115176539e-21,3.516677810291829e-21,1.3332532112106304e-23,2.0338813015361212e-61,1.585342473863554e-63,2.1540325452995563e-114,9.676645969372251e-57,4.991056477714831e-81,6.026312665673467e-11,1.368743091252401e-50,4.475198536511814e-156,5.960088396880585e-12,4.4356818777414835e-23,3.874791468005762e-28,1.864828458868375e-167,4.311917444843408e-10,5.866108757536182e-158,2.262594573094952e-14
SVM (Wilcoxon - inCV),3.2951396350616595e-17,9.072229497493237e-37,4.0072059365931114e-51,4.1453287482349513e-178,4.150986270550229e-20,4.0540339041552655e-10,1.1729381859657005e-12,2.790377995896177e-10,1.0,3.4809907958554124e-05,3.3300235665078473e-07,6.682351587263602e-05,3.4809907958554124e-05,3.677609986696185e-98,8.393008189870042e-08,1.645758909126442e-20,1.0,1.0,1.2707226665180914e-64,1.0,0.001216322359525204,9.46252678616309e-85,3.379354337548339e-89,2.4835115953870628e-98,2.025244096503498e-68,6.093623269979995e-105,7.587479491623629e-11,1.2123529015830314e-20,2.089459115176539e-21,3.516677810291829e-21,1.3332532112106304e-23,2.0338813015361212e-61,1.585342473863554e-63,2.1540325452995563e-114,9.676645969372251e-57,4.991056477714831e-81,6.026312665673467e-11,1.368743091252401e-50,4.475198536511814e-156,5.960088396880585e-12,4.4356818777414835e-23,3.874791468005762e-28,1.864828458868375e-167,4.311917444843408e-10,5.866108757536182e-158,2.262594573094952e-14
SVM (Kruskal - inCV),2.730162019467354e-137,5.753822771727996e-176,1.252398831344775e-199,5.304833336668093e-38,3.963612934417353e-13,2.1198099080105743e-119,3.055141085858944e-126,7.382048872639827e-120,5.70758580306372e-77,6.877803925844932e-104,1.0460460836272613e-110,8.50711016241882e-34,4.0141054676392934e-33,0.0010575214585424693,7.006164171618218e-28,8.4400162055265e-13,1.2707226665180914e-64,1.2707226665180914e-64,1.0,5.460641310539415e-65,4.6550051104611586e-37,0.6427960361627485,0.10221977794160561,0.0009720590302801655,1.0,1.774458031183492e-05,4.4356818777414835e-23,1.0813618292504375e-12,4.312286112827368e-12,2.894815446044222e-12,1.7590981133744046e-10,1.0,1.0,2.1098797097106945e-08,1.0,1.0,1.0682050376203136e-121,8.601011366939509e-199,4.673872485369815e-26,1.3779866815502728e-21,4.5568442334205587e-150,3.828805339088005e-160,5.060224486122646e-32,2.6153788632528594e-119,5.143272027746489e-27,1.1748152164232283e-18
SVM (Chi-square - inCV),5.2914668222171976e-17,1.7604409606353143e-36,8.633011536155184e-51,1.2796624799222957e-178,2.4837874395406147e-20,5.785490765936451e-10,1.7580690230781541e-12,4.0540339041552655e-10,1.0,4.5525012225540386e-05,4.572758366206825e-07,5.053678919569272e-05,2.6277638450522335e-05,1.37120508812021e-98,5.973347862194467e-08,9.883301298098709e-21,1.0,1.0,5.460641310539415e-65,1.0,0.0009720590302801655,3.7044085381889844e-85,1.298271666755089e-89,9.229733576179304e-99,8.5253031159699e-69,2.2124944533556703e-105,5.15940348065059e-11,7.229336256088775e-21,1.2414560747195888e-21,2.089459115176539e-21,7.675070206302542e-24,8.847564089778383e-62,6.852203035607547e-64,7.598676109575605e-115,4.341914650950902e-57,1.9840965345908827e-81,8.820854042867267e-11,2.9337386113919535e-50,1.433254356736556e-156,3.982834300470542e-12,7.585406273697117e-23,7.006164171618218e-28,5.853592856415244e-168,6.218968403575216e-10,1.8721597078605535e-158,1.4544584926132105e-14
SVM (KS - inCV),3.086079116255609e-38,2.946759900679058e-64,6.519796371715909e-82,6.580196523597415e-137,1.4919408049071551e-05,1.1138890125896036e-27,1.3730933190897767e-31,6.230468722098229e-28,1.1613753178763944e-07,1.9188702130754687e-19,6.106650128233367e-23,1.0,1.0,7.640636522309185e-65,1.0,8.855825968713197e-06,0.001216322359525204,0.001216322359525204,4.6550051104611586e-37,0.0009720590302801655,1.0,1.731218539955595e-53,3.146175571450398e-57,5.460641310539415e-65,4.284392213599714e-40,1.0782841183437239e-70,0.5562827406322828,7.450380754714631e-06,2.6783068667399777e-06,3.6268488632733795e-06,1.3191450317855703e-07,1.5731341615304023e-34,3.4286507744868946e-36,5.972865805169967e-79,6.866633910929154e-31,2.160909490414038e-50,5.693784860789417e-29,2.870958663648013e-81,1.7713011634202657e-116,0.18897341989913924,2.1212867350830818e-46,3.7842459352853995e-53,5.503245251586677e-127,1.2519163836291457e-27,3.2810321685333483e-118,0.014554786006712936
K-Neighbors (MW - inCV),1.2249514525186302e-162,8.973741263355988e-203,4.721182139114353e-227,4.407243466899325e-24,3.5294818617723704e-24,7.810960549345844e-144,4.7736083145500655e-151,2.5605549268356788e-144,2.4835115953870628e-98,2.3274236350036223e-127,1.276909973566712e-134,1.1616040386939273e-49,7.170010821817847e-49,1.0,1.3179248998416343e-42,9.570382404860278e-24,9.46252678616309e-85,9.46252678616309e-85,0.6427960361627485,3.7044085381889844e-85,1.731218539955595e-53,1.0,1.0,1.0,1.0,1.0,9.072229497493237e-37,1.3332532112106304e-23,8.420335460034548e-23,4.914185427128059e-23,1.2123529015830314e-20,0.14724431666016813,0.40030757134409506,0.030635381412295486,0.010834886098552746,1.0,2.9201765881901383e-146,3.3791847064255124e-226,1.4544584926132105e-14,6.289543192627378e-35,5.753822771727996e-176,1.9898449353500675e-186,2.8675576946931394e-19,9.752665144149864e-144,2.635437869355109e-15,2.8926855529685646e-31
K-Neighbors (Wilcoxon - inCV),4.645371891996532e-168,1.8667134429145685e-208,7.68426195782518e-233,1.5253543747218831e-21,7.306380482805981e-27,4.327952927400105e-149,2.2597962922837905e-156,1.4050361396656037e-149,5.139520118303898e-103,1.9397268228761604e-132,8.795229412790324e-140,2.767506761987976e-53,1.803120883201346e-52,1.0,5.149747203444465e-46,2.0885125052104505e-26,3.379354337548339e-89,3.379354337548339e-89,0.10221977794160561,1.298271666755089e-89,3.146175571450398e-57,1.0,1.0,1.0,0.5905536910585144,1.0,5.655310802042989e-40,2.942279769133002e-26,2.0717791865549213e-25,1.1738685552258881e-25,3.9830774397460384e-23,0.017924663190341007,0.058487511797450965,0.23251897666400131,0.0008827588464282528,1.0,1.541906384585614e-151,5.551905275519392e-232,1.4958350150524546e-12,4.6358392033134103e-38,1.7362599438886184e-181,5.0933586942428225e-192,5.808568164276086e-17,5.415658332457969e-149,3.071636673774679e-13,3.009832367244868e-34
K-Neighbors (Kruskal - inCV),4.9965991059841666e-179,6.64373114073761e-220,1.771641816459832e-244,7.678154016733672e-17,1.4350228609664677e-32,9.567056142784118e-160,3.7244019565966236e-167,3.0467492330434646e-160,1.3727476504178836e-112,9.053977618557992e-143,2.907559748449278e-150,7.6561727465565e-61,5.499528938260556e-60,1.0,3.7842459352853995e-53,4.465839587762672e-32,2.4835115953870628e-98,2.4835115953870628e-98,0.0009720590302801655,9.229733576179304e-99,5.460641310539415e-65,1.0,1.0,1.0,0.01041992579078094,1.0,1.0148784128881248e-46,6.481055971191968e-32,5.369836245288436e-31,2.8926855529685646e-31,1.6870286675889463e-28,0.00010260321031017933,0.00046264413790809956,1.0,2.3726943126590512e-06,1.0,3.0750866950007067e-162,1.2942857373346128e-243,5.970119898493814e-09,1.1243709898385452e-44,1.214277783170925e-192,2.6835067530047416e-203,9.157866226685726e-13,1.202058399042434e-159,1.5128501091212983e-09,1.4035505477497674e-40
K-Neighbors (Chi-square - inCV),3.434770103631642e-142,3.524604703544726e-181,5.58919045439772e-205,4.840386761482822e-35,4.536944482908435e-15,4.198599159450069e-124,5.06254895358388e-131,1.4420370110858847e-124,4.991056477714831e-81,2.1751950430134607e-108,2.6803834270730027e-115,1.0298647900610137e-36,5.100854562265002e-36,0.011264699179642445,1.4355773093507113e-30,1.0238168931223423e-14,2.025244096503498e-68,2.025244096503498e-68,1.0,8.5253031159699e-69,4.284392213599714e-40,1.0,0.5905536910585144,0.01041992579078094,1.0,0.0002795368810078345,1.4709328626133613e-25,1.3334890215300757e-14,5.914388650344341e-14,3.8122122268517766e-14,3.1251826444806286e-12,1.0,1.0,6.261188886196796e-07,1.0,1.0,1.992116526964688e-126,3.875666674486388e-204,1.4788616018385166e-23,5.50109126135569e-24,4.355797260502969e-155,3.03234304057145e-165,2.75848964018609e-29,5.193322782091724e-124,1.799593705791838e-24,6.559695334678533e-21
