,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (All),1.0,0.004020890294177636,6.3942442409800745e-09,2.1596498153998684e-268,1.862345640576253e-72,1.0,1.0,1.0,4.415264756105814e-11,0.013397705320172237,0.25752557097028705,1.1123233811450745e-41,2.0147289305662992e-42,7.996708385793027e-179,1.1264928913283226e-48,3.760193844130588e-73,3.2951396350616595e-17,3.2951396350616595e-17,2.730162019467354e-137,5.2914668222171976e-17,3.086079116255609e-38,1.2249514525186302e-162,4.645371891996532e-168,4.9965991059841666e-179,3.434770103631642e-142,7.693410429970206e-187,3.2969951677262184e-55,2.2118219733984436e-73,1.0675316009879774e-74,2.607671961626775e-74,2.1500061199896718e-78,4.221157952060802e-133,7.382396345002134e-136,7.486676230865867e-198,6.809183149147574e-127,4.671678924256244e-158,1.0,1.1296296352975046e-08,1.382491447669917e-244,1.9378209352140713e-57,1.0,1.0,6.009638426865084e-257,1.0,1.2166905483444432e-246,3.8474276159692945e-62
Logistic Regression (All),0.004020890294177636,1.0,1.0,0.0,9.115883650286049e-105,8.876387913935715e-08,9.36405222258223e-06,1.2378270658869318e-07,7.006164171618218e-28,1.6809541154281442e-13,8.820854042867267e-11,1.7072867842484656e-68,2.1182843217775488e-69,1.0838310026089519e-219,5.70758580306372e-77,1.4758794075157055e-105,9.072229497493237e-37,9.072229497493237e-37,5.753822771727996e-176,1.7604409606353143e-36,2.946759900679058e-64,8.973741263355988e-203,1.8667134429145685e-208,6.64373114073761e-220,3.524604703544726e-181,5.1381950728806716e-228,9.46252678616309e-85,8.032288388730903e-106,2.53007025472549e-107,7.002323161159727e-107,1.6339501649392447e-111,1.7006072167838613e-171,1.934466815845994e-174,2.0997015303835256e-239,7.639755840250582e-165,5.891429962596657e-198,4.572758366206825e-07,1.0,3.1237889990960983e-287,2.2466569731700886e-87,0.6427960361627485,1.0,9.157389532370913e-300,8.393008189870042e-08,2.559572099702138e-289,7.01329752192143e-93
SVM (All),6.3942442409800745e-09,1.0,1.0,0.0,1.6969513354537093e-125,1.1620230710696922e-15,7.802783660794948e-13,1.8401690194509046e-15,9.2376598456951e-41,3.202638397644512e-23,1.0441763891231967e-19,1.4957713099198076e-86,1.5373566252628113e-87,2.9121759867345515e-244,9.20814438981553e-96,2.467082487668507e-126,4.0072059365931114e-51,4.0072059365931114e-51,1.252398831344775e-199,8.633011536155184e-51,6.519796371715909e-82,4.721182139114353e-227,7.68426195782518e-233,1.771641816459832e-244,5.58919045439772e-205,1.03815395561847e-252,3.7552558114447566e-104,1.2971587971990973e-126,3.35071692802875e-128,9.84735408172586e-128,1.255529667774595e-132,4.914185955745961e-195,4.6359762066918026e-198,3.035160844574502e-264,3.490919933388316e-188,3.844499059613057e-222,1.1170655476985086e-14,1.0,0.0,5.71746773267856e-107,2.938694718135104e-05,0.0050338807098903055,0.0,1.0621720135643415e-15,0.0,7.374699042880232e-113
K-Neighbors (All),2.1596498153998684e-268,0.0,0.0,1.0,7.163785698351522e-92,1.292567724548755e-247,1.2115120864309814e-255,3.717443175304443e-248,7.932730979242765e-195,5.589849339652354e-229,2.9991369224013744e-237,1.708661296292982e-131,2.3127830311697133e-130,6.375490065637456e-17,3.0828334795267183e-121,4.07465788293345e-91,4.1453287482349513e-178,4.1453287482349513e-178,5.304833336668093e-38,1.2796624799222957e-178,6.580196523597415e-137,4.407243466899325e-24,1.5253543747218831e-21,7.678154016733672e-17,4.840386761482822e-35,7.677994748461068e-14,2.0758236390278652e-112,7.261960643526151e-91,1.9033403388092884e-89,7.305239005963491e-90,1.4458033403608868e-85,1.2217653851410781e-40,6.861278459211084e-39,4.0540339041552655e-10,9.730270199901003e-45,2.3415181298471067e-26,2.527578979994931e-250,0.0,1.0,1.516364490954707e-109,7.666975712031966e-283,4.811274701303756e-294,1.0,1.6570374745360244e-247,1.0,1.0288305762827993e-103
Decision Tree (All),1.862345640576253e-72,9.115883650286049e-105,1.6969513354537093e-125,7.163785698351522e-92,1.0,2.3520476109936742e-58,1.1326565192269558e-63,1.0422448472235987e-58,7.006164171618218e-28,1.1758999207549822e-46,9.971908031158427e-52,0.00032643394059652883,0.0005942507588554174,1.8415813896765934e-32,0.04795113273855502,1.0,4.150986270550229e-20,4.150986270550229e-20,3.963612934417353e-13,2.4837874395406147e-20,1.4919408049071551e-05,3.5294818617723704e-24,7.306380482805981e-27,1.4350228609664677e-32,4.536944482908435e-15,6.968178752403686e-37,1.0,1.0,1.0,1.0,1.0,1.4508735698509987e-11,1.3795310989527915e-12,2.730073828620997e-43,2.186644207678745e-09,5.284860090891765e-22,3.9655313519149595e-60,9.407908691476773e-125,3.7265960114349485e-74,1.0,6.999307245391606e-83,2.772321757710244e-91,3.319473191016872e-83,2.7644425065939437e-58,1.2350903278031494e-75,1.0
Naive Bayes (All),1.0,8.876387913935715e-08,1.1620230710696922e-15,1.292567724548755e-247,2.3520476109936742e-58,1.0,1.0,1.0,1.873629961260467e-05,1.0,1.0,1.1239806888538987e-30,2.556415502555046e-31,1.5102772688859602e-159,7.943439103147145e-37,5.430684980974743e-59,4.0540339041552655e-10,4.0540339041552655e-10,2.1198099080105743e-119,5.785490765936451e-10,1.1138890125896036e-27,7.810960549345844e-144,4.327952927400105e-149,9.567056142784118e-160,4.198599159450069e-124,2.3467969658830296e-167,1.1438508534894506e-42,3.3359599089307446e-59,2.056538878892439e-60,4.6701512345539856e-60,8.102523584022349e-64,2.1774326699174878e-115,4.99371397841197e-118,4.1453287482349513e-178,1.8601115880521364e-109,2.1293680076618768e-139,1.0,2.4113227388438958e-15,4.619983068603028e-224,1.1243709898385452e-44,0.07065547694147699,0.000801286188172035,2.7882274499405918e-236,1.0,4.3186233021278726e-226,6.170201465287153e-49
Random Forest (MW - inCV),1.0,9.36405222258223e-06,7.802783660794948e-13,1.2115120864309814e-255,1.1326565192269558e-63,1.0,1.0,1.0,1.969306150640924e-07,0.914137601884724,1.0,9.318973425212595e-35,1.9239763286339852e-35,5.916384076285755e-167,2.991136719727801e-41,2.4908857028680536e-64,1.1729381859657005e-12,1.1729381859657005e-12,3.055141085858944e-126,1.7580690230781541e-12,1.3730933190897767e-31,4.7736083145500655e-151,2.2597962922837905e-156,3.7244019565966236e-167,5.06254895358388e-131,7.583299593225036e-175,2.2832004344498616e-47,1.4991004152742906e-64,8.397718593662418e-66,1.9653930022204116e-65,2.518818829188951e-69,3.6922516567760325e-122,7.602948826527033e-125,1.0493621329725016e-185,4.0913841858001724e-116,1.4918042608890368e-146,1.0,1.4958350150524546e-12,5.551905275519392e-232,1.830600125523686e-49,0.8713797821100484,0.02298654925526184,2.9121759867345515e-244,1.0,5.055854406285522e-234,6.736666265640105e-54
Random Forest (Wilcoxon - inCV),1.0,1.2378270658869318e-07,1.8401690194509046e-15,3.717443175304443e-248,1.0422448472235987e-58,1.0,1.0,1.0,1.4122915843922836e-05,1.0,1.0,6.072591627396538e-31,1.3730933190897767e-31,4.811425999816251e-160,4.073898786321533e-37,2.4057400250401976e-59,2.790377995896177e-10,2.790377995896177e-10,7.382048872639827e-120,4.0540339041552655e-10,6.230468722098229e-28,2.5605549268356788e-144,1.4050361396656037e-149,3.0467492330434646e-160,1.4420370110858847e-124,7.375807538487906e-168,5.604772490759765e-43,1.471228474838926e-59,9.023748080664769e-61,2.056538878892439e-60,3.485794185066177e-64,7.659185014597607e-116,1.7456471979681597e-118,1.2796624799222957e-178,6.667486986449235e-110,7.056327610914631e-140,1.0,3.790987360726161e-15,1.3516583819475815e-224,5.4227076065980074e-45,0.0845128033232876,0.001011044777607052,8.079504234623908e-237,1.0,1.2626184198864628e-226,2.8877870242102483e-49
Random Forest (Kruskal - inCV),4.415264756105814e-11,7.006164171618218e-28,9.2376598456951e-41,7.932730979242765e-195,7.006164171618218e-28,1.873629961260467e-05,1.969306150640924e-07,1.4122915843922836e-05,1.0,0.07065547694147699,0.0026385472143946685,2.186644207678745e-09,9.047369974930573e-10,2.0758236390278652e-112,3.963612934417353e-13,2.4060096275678956e-28,1.0,1.0,5.70758580306372e-77,1.0,1.1613753178763944e-07,2.4835115953870628e-98,5.139520118303898e-103,1.3727476504178836e-112,4.991056477714831e-81,1.7180534960092574e-119,6.375490065637456e-17,1.6870286675889463e-28,2.1648341519770512e-29,3.960371132830958e-29,6.481055971191968e-32,1.5544978785301845e-73,8.619318575351315e-76,2.504388436715431e-129,1.7072867842484656e-68,2.1098635982442898e-94,4.3485406538146195e-06,2.820519266850394e-40,2.6284256854434897e-172,2.8668925233989406e-18,5.545643511098162e-16,2.4837874395406147e-20,5.926281982384478e-184,1.968527145679223e-05,3.087418304462526e-174,3.516677810291829e-21
Random Forest (Chi-square - inCV),0.013397705320172237,1.6809541154281442e-13,3.202638397644512e-23,5.589849339652354e-229,1.1758999207549822e-46,1.0,0.914137601884724,1.0,0.07065547694147699,1.0,1.0,5.284860090891765e-22,1.4502770670914065e-22,1.4117695628851414e-142,2.2630425811860525e-27,3.0757137484681524e-47,3.4809907958554124e-05,3.4809907958554124e-05,6.877803925844932e-104,4.5525012225540386e-05,1.9188702130754687e-19,2.3274236350036223e-127,1.9397268228761604e-132,9.053977618557992e-143,2.1751950430134607e-108,3.640031768655052e-150,1.6240165891593583e-32,1.9686863050042442e-47,1.5226734946385442e-48,3.2383383056726425e-48,1.1608932495442576e-51,4.664871619780878e-100,1.4046815955924177e-102,1.2171007862236923e-160,2.1098635982442898e-94,4.38966490401401e-123,1.0,7.585406273697117e-23,1.025678349248663e-205,2.646222312836883e-34,1.873629961260467e-05,2.988764010436952e-08,8.911925036630443e-218,1.0,1.0213789151832045e-207,4.0508304590061133e-38
