Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),303.0,2.172643650460552e-14,7.639974737582574,0.7639974737582574,1.449153314857188e-11
Random Forest (All),SVM (All),3.0,4.265842540306607e-18,8.671468069931041,0.8671468069931041,4.032484450422398e-15
Random Forest (All),K-Neighbors (All),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,4.032484450422398e-15
Random Forest (All),Decision Tree (All),100.0,7.557766781982981e-17,8.337968549587554,0.8337968549587554,5.630536252577321e-14
Random Forest (All),Naive Bayes (All),0.0,3.896340037647931e-18,8.681776644898465,0.8681776644898465,4.032484450422398e-15
Random Forest (All),Random Forest (MW - inCV),943.5,5.396584841461558e-08,5.437722793648443,0.5437722793648443,2.5040153664381628e-05
Random Forest (All),Random Forest (Wilcoxon - inCV),809.0,3.63108494394693e-09,5.900178510212285,0.5900178510212285,1.811911387029518e-06
Random Forest (All),Random Forest (Kruskal - inCV),963.0,7.843715470225356e-08,5.370687215521645,0.5370687215521646,3.6002654008334385e-05
Random Forest (All),Random Forest (Chi-square - inCV),1119.5,2.2330405306375468e-06,4.731102202910154,0.47311022029101546,0.0009043814149082064
Random Forest (All),Random Forest (KS - inCV),712.0,4.554741295400237e-10,6.233724395356835,0.6233724395356834,2.4550055582207276e-07
Random Forest (All),Logistic Regression (MW - inCV),1100.5,9.68622576810524e-07,4.897908215601641,0.48979082156016407,0.00040972734999085165
Random Forest (All),Logistic Regression (Wilcoxon - inCV),1162.0,2.7798856136196153e-06,4.686447150011272,0.4686447150011272,0.0011091743598342265
Random Forest (All),Logistic Regression (Kruskal - inCV),1412.0,0.00012978168504656416,3.8268725165656794,0.3826872516565679,0.042568392695273044
Random Forest (All),Logistic Regression (Chi-square - inCV),808.0,3.5559873800421057e-09,5.903625566862608,0.5903625566862608,1.777993690021053e-06
Random Forest (All),Logistic Regression (KS - inCV),727.5,6.393648221235024e-10,6.180407172723024,0.6180407172723024,3.426995446581973e-07
Random Forest (All),SVM (MW - inCV),740.5,8.478273899169492e-10,6.135704284075654,0.6135704284075654,4.5104417143581696e-07
Random Forest (All),SVM (Wilcoxon - inCV),655.0,1.2787141638278257e-10,6.4296817098467205,0.6429681709846721,7.186373600712381e-08
Random Forest (All),SVM (Kruskal - inCV),673.0,1.917631930089947e-10,6.3677964305329855,0.6367796430532986,1.0662033531300105e-07
Random Forest (All),SVM (Chi-square - inCV),662.5,1.5145837660887602e-10,6.403898948092702,0.6403898948092702,8.481669090097057e-08
Random Forest (All),SVM (KS - inCV),274.0,9.967579141863275e-15,7.739669222958039,0.7739669222958039,6.807856553892616e-12
Random Forest (All),K-Neighbors (MW - inCV),272.0,9.440889460237573e-15,7.746568767813615,0.7746568767813615,6.4575683908025e-12
Random Forest (All),K-Neighbors (Wilcoxon - inCV),144.0,2.6856761209405393e-16,8.186663550557418,0.8186663550557418,1.9686005966494154e-13
Random Forest (All),K-Neighbors (Kruskal - inCV),412.0,3.725407650063557e-13,7.265180394540354,0.7265180394540354,2.3581830424902316e-10
Random Forest (All),K-Neighbors (Chi-square - inCV),593.5,3.1125762301146575e-11,6.6411440634851315,0.6641144063485132,1.8239696708471892e-08
Random Forest (All),K-Neighbors (KS - inCV),160.0,4.235061152808317e-16,8.131644263439552,0.8131644263439552,3.074654396938838e-13
Random Forest (All),Decision Tree (MW - inCV),225.0,2.612356687765252e-15,7.908152983471869,0.7908152983471869,1.823424968060146e-12
Random Forest (All),Decision Tree (Wilcoxon - inCV),289.5,1.5133534506859627e-14,7.686397905214086,0.7686397905214086,1.0230269326637108e-11
Random Forest (All),Decision Tree (Kruskal - inCV),607.0,4.260963777218884e-11,6.594707050037103,0.6594707050037103,2.4798809183413902e-08
Random Forest (All),Decision Tree (Chi-square - inCV),324.0,3.797351804308381e-14,7.567752980777719,0.7567752980777719,2.502454839039223e-11
Random Forest (All),Decision Tree (KS - inCV),281.0,1.2040812669310325e-14,7.715606649961248,0.7715606649961247,8.17571180246171e-12
Random Forest (All),Naive Bayes (MW - inCV),638.0,8.690357504246774e-11,6.4881381557320426,0.6488138155732043,4.970884492429155e-08
Random Forest (All),Naive Bayes (Wilcoxon - inCV),812.5,3.905662183905536e-09,5.888139995938504,0.5888139995938504,1.945019767584957e-06
Random Forest (All),Naive Bayes (Kruskal - inCV),924.5,3.732741489297776e-08,5.503051110486457,0.5503051110486457,1.7469230169913594e-05
Random Forest (All),Naive Bayes (Chi-square - inCV),1852.5,0.020762336159853848,2.312278582819208,0.2312278582819208,1.0
Random Forest (All),Naive Bayes (KS - inCV),1196.0,4.887475338167408e-06,4.569560728083816,0.45695607280838163,0.0018963404312089542
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + LR,68.0,2.9641054725688535e-17,8.447970382778427,0.8447970382778427,2.2764330029328793e-14
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + SVM,4.0,4.396866285628059e-18,8.668023335361992,0.8668023335361992,4.032484450422398e-15
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + KNN,1.0,4.0161556854627e-18,8.67833190526259,0.8678331905262591,4.032484450422398e-15
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,4.032484450422398e-15
Random Forest (All),Integrated-SelectFromModel (RF selector) + RF,2256.0,0.35500629069466805,0.9249223677449208,0.09249223677449207,1.0
Random Forest (All),Integrated-SelectFromModel (RF selector) + LR,165.5,4.948622935558681e-16,8.11275144591932,0.8112751445919321,3.587751628280044e-13
Random Forest (All),Integrated-SelectFromModel (RF selector) + KNN,0.0,3.896120241954008e-18,8.681783059704948,0.8681783059704948,4.032484450422398e-15
Random Forest (All),Integrated-RFECV (L1-LR) + LR,74.0,3.535912186167528e-17,8.427346645281911,0.8427346645281911,2.7049728224181588e-14
Random Forest (All),Integrated-RFECV (L1-LR) + KNN,3.0,4.2663227307182344e-18,8.671455255575378,0.8671455255575378,4.032484450422398e-15
Random Forest (All),Integrated-RFECV (L1-LR) + Naive Bayes,0.0,3.896340037647931e-18,8.681776644898465,0.8681776644898465,4.032484450422398e-15
Logistic Regression (All),SVM (All),304.0,2.2316273269543266e-14,7.63652512012653,0.7636525120126529,1.4862637997515814e-11
Logistic Regression (All),K-Neighbors (All),34.0,1.082004916926409e-17,8.56486718542358,0.856486718542358,8.645219286242008e-15
Logistic Regression (All),Decision Tree (All),2010.0,0.07660396229407983,1.7707399111873454,0.17707399111873454,1.0
Logistic Regression (All),Naive Bayes (All),18.0,6.702036285672441e-18,8.619886751984335,0.8619886751984336,5.542584008251109e-15
