,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (KS - inCV),0.00015818538845605232,5.010011554676481e-09,2.5099339644998124e-52,6.981200944478632e-92,1.7689504318352003e-22,3.9762190660753326e-84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7336252540227316,0.3776706023226955,0.565733198315956,7.399376357443968e-07,1.4265322901568783e-07,2.1858685739802745e-09,0.0006023580636854157,1.0,8.813756357353683e-11,1.0614022957919093e-09,1.0230743164670269e-08,0.009978035368216486,1.4599514649590934e-07,1.118329164669654e-09,1.0,1.0,1.0,0.24930262564919187,1.0,5.55659758671075e-40,1.7914898906976884e-60,1.4951973401597758e-88,1.0572236573288512e-98,0.0008567345950889132,2.006732326072487e-20,2.6861829884333255e-89,8.71110596403558e-37,1.2026115840709948e-87,7.033133436469003e-97
Logistic Regression (MW - inCV),0.00010130710621187065,8.965828753645582e-09,9.209353920774251e-52,3.690635437475651e-91,4.276165930356212e-22,1.9745825530029564e-83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9401787458240944,0.48629202537278465,0.7336252540227316,1.245768278810218e-06,2.4304399844629307e-07,3.929151061191423e-09,0.0009055174809820392,1.0,1.6581468702476286e-10,1.910979211636667e-09,1.8255570903352542e-08,0.01420964636944471,2.4864725328882736e-07,2.015843307742265e-09,1.0,1.0,1.0,0.18763492950977811,1.0,1.7489686717584137e-39,7.169525070261336e-60,7.701941872072014e-88,5.869765456296458e-98,0.0005693245422404672,4.677375779618123e-20,1.388964258072382e-88,2.6297541133417814e-36,6.137688909994416e-87,3.86062118827921e-96
Logistic Regression (Wilcoxon - inCV),0.00032715936906794346,1.8623443106878224e-09,2.7728268892102224e-53,4.184491596209413e-93,3.913051184034973e-23,2.642060695185863e-85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4754170101766729,0.23735587454029958,0.3689302818322575,3.026645785818164e-07,5.6429711718126716e-08,8.045414058596417e-10,0.0002987485931043681,1.0,3.004371533153582e-11,3.7767058624125226e-10,3.830832388238923e-09,0.005345842190227095,5.7785156363595855e-08,3.9911530725316015e-10,1.0,1.0,1.0,0.397207883691673,1.0,7.947258068887503e-41,1.712924847506395e-61,9.408924111908088e-90,5.811798089792678e-100,0.0016812428898718814,4.7666399041706864e-21,1.6703033365520095e-90,1.3321909627453754e-37,7.659380809610386e-89,3.9861089514609404e-98
Logistic Regression (Kruskal - inCV),0.13406870329404424,3.286000104718453e-14,3.893254930100249e-63,1.6149007407912778e-105,5.049943584042751e-30,2.7744690812889227e-97,1.0,1.0,0.7919770039840318,1.0,1.0,1.0,1.0,1.0,0.472839573898745,0.18224759693061918,0.019424255117841304,0.00209318806413884,0.0007373581370647481,0.0014032228501319685,1.6200748949645812e-11,2.057984860862642e-12,1.1830906581626591e-14,8.438958058171757e-08,0.023416257404023044,2.3377772702232627e-16,4.810310254376372e-15,7.937640571521949e-14,3.775321890862262e-06,2.1194361967024788e-12,5.139156816939244e-15,0.013582833051138552,0.16583435087223972,1.0,1.0,1.0,1.3228122327858684e-49,5.976316216150436e-72,5.5348053022928225e-102,9.72779379457625e-113,0.4176536474469009,1.1469395747716496e-27,8.934606003243077e-103,4.518880499455415e-46,5.0650239726265524e-101,8.274731483077254e-111
Logistic Regression (Chi-square - inCV),2.020793926893978e-08,5.364752915937467e-05,9.392724512894782e-43,1.8554622654658652e-79,3.9428261211945196e-16,3.4615255879318447e-72,1.0,1.0,1.0,0.36172619430175945,1.0,1.0,1.0,0.472839573898745,1.0,1.0,1.0,1.0,1.0,1.0,0.002415290078935912,0.0007008306211174104,2.7743295904233325e-05,0.2817503216965126,1.0,2.131984481682362e-06,1.542792613276162e-05,9.381032526024356e-05,1.0,0.0007110067564972161,1.6093584291625574e-05,1.0,1.0,1.0,0.0005071101753033607,1.0,1.4595016518745238e-31,3.288105618355931e-50,2.4891271000406317e-76,7.038681518728736e-86,1.8696027351120946e-07,2.290087345761235e-14,4.9719169039367945e-77,1.068314827224724e-28,1.7592811272049257e-75,3.6997242526096033e-84
Logistic Regression (KS - inCV),2.6356788381953214e-09,0.00025598247933187777,5.799013079357992e-41,4.323425880286259e-77,5.4812085956778706e-15,6.435745211205146e-70,1.0,1.0,1.0,0.133016370784856,1.0,1.0,1.0,0.18224759693061918,1.0,1.0,1.0,1.0,1.0,1.0,0.009095642560285146,0.0028282676240791327,0.00013718938464579838,0.6998969133336846,1.0,1.2119737019704525e-05,7.999910275464448e-05,0.0004295938562240111,1.0,0.002872908913322818,8.325656189150909e-05,1.0,1.0,1.0,0.00011194654354601668,1.0,5.281495819773747e-30,2.790769427974134e-48,5.269511474926002e-74,1.9745825530029564e-83,2.6822579832274513e-08,2.795552259238971e-13,1.0742556959942557e-74,3.3084013364709e-27,3.6241547818263144e-73,9.892805965729161e-82
SVM (MW - inCV),3.474831925576875e-11,0.004270318801742008,1.7181363448224813e-37,1.8726979973900106e-72,8.113752316642441e-13,1.7811964880722143e-65,0.472839573898745,1.0,1.0,0.013582833051138552,1.0,1.0,1.0,0.019424255117841304,1.0,1.0,1.0,1.0,1.0,1.0,0.09343563159385825,0.0350175353807473,0.002492850046610488,1.0,1.0,0.0002987485931043681,0.0015382735485257254,0.006774831086115407,1.0,0.03547589476413821,0.0015931762091705123,1.0,1.0,1.0,4.038225150506725e-06,0.16583435087223972,5.345148036203623e-27,1.5726715338991278e-44,1.8859012339772192e-69,1.265611964707018e-78,4.3393744580433047e-10,3.0898703939817653e-11,4.019952380779455e-70,2.4607481240924365e-24,1.2300521650769228e-68,5.7173960309471694e-77
SVM (Wilcoxon - inCV),6.123207332916979e-13,0.0364080424745452,1.3426480464846824e-34,1.5019372517714624e-68,4.515534390189181e-11,9.652287095205856e-62,0.08358309054853547,0.8870151755748876,1.0,0.0013804993885796631,0.7336252540227316,0.9401787458240944,0.4754170101766729,0.00209318806413884,1.0,1.0,1.0,1.0,1.0,1.0,0.5175082461144545,0.22591755720234888,0.022724484748039328,1.0,1.0,0.0034211400733143273,0.014906634597761618,0.054140737363520625,1.0,0.2283183373714777,0.01532869574334236,1.0,1.0,1.0,1.737622461961118e-07,0.024127457620242414,1.61991363646642e-24,2.1130951594209327e-41,1.2844243979649952e-65,1.4167080427304624e-74,9.127553710456744e-12,1.3546741096170689e-09,2.837611898135503e-66,5.639771994392491e-22,7.988548134392214e-65,5.860247827139544e-73
SVM (Kruskal - inCV),9.955828752365648e-14,0.08358309054853547,2.1651653160866104e-33,6.639033006338698e-67,2.32809080166381e-10,3.588721844843548e-60,0.0364080424745452,0.46400956655799647,1.0,0.00048149907658903094,0.3776706023226955,0.48629202537278465,0.23735587454029958,0.0007373581370647481,1.0,1.0,1.0,1.0,1.0,1.0,0.9876046623170233,0.4596362245541984,0.053470217024534625,1.0,1.0,0.009095642560285146,0.03593938304778147,0.1225446556668376,1.0,0.46400956655799647,0.03676629806569004,1.0,1.0,1.0,4.170668010777767e-08,0.009835026484795754,1.723519200570589e-23,4.275887816762834e-40,5.255942371673748e-64,7.186771187756444e-73,1.6088321566939891e-12,6.186068468537957e-09,1.1790734368625816e-64,5.347383014876744e-21,3.211358080724822e-63,2.8597337325815477e-71
SVM (Chi-square - inCV),3.072652784861121e-13,0.050534620165112114,3.941863291795188e-34,6.513008551940931e-68,8.574649875982739e-11,3.912856285467408e-61,0.06075200252166886,0.6938248139506481,1.0,0.0009207774967806161,0.565733198315956,0.7336252540227316,0.3689302818322575,0.0014032228501319685,1.0,1.0,1.0,1.0,1.0,1.0,0.6703021723232501,0.30092238220694395,0.031979141065275926,1.0,1.0,0.005005118297049789,0.021045319861790004,0.07469256560991569,1.0,0.30287772288170706,0.02168953876307923,1.0,1.0,1.0,1.0067033571157205e-07,0.017042418331336923,4.06473815016061e-24,6.784739529194959e-41,5.40382376951558e-65,6.477740813236965e-74,4.697413322201366e-12,2.4314439752158603e-09,1.2041652197849437e-65,1.352925294655451e-21,3.338842434746102e-64,2.6350964069791577e-72
SVM (KS - inCV),1.386400947199375e-25,1.0,9.32017247422787e-20,1.6301712302427902e-47,0.0038423888732942576,9.001762055883342e-42,1.0230743164670269e-08,1.1099823876786059e-06,0.001071050127481567,8.108833091242256e-12,7.399376357443968e-07,1.245768278810218e-06,3.026645785818164e-07,1.6200748949645812e-11,0.002415290078935912,0.009095642560285146,0.09343563159385825,0.5175082461144545,0.9876046623170233,0.6703021723232501,1.0,1.0,1.0,1.0,0.07889242299143859,1.0,1.0,1.0,1.0,1.0,1.0,0.12958557046847397,0.01009388740844263,0.00016405616035019313,7.309221087646699e-18,1.0895039017190941e-09,3.677607701904875e-12,4.189315694053269e-25,4.9389184176318444e-45,1.1597530604986157e-52,5.670691854530336e-24,0.027427379536431942,1.3773238886165303e-45,2.4615298183313394e-10,2.3116212886887976e-44,2.817750478171622e-51
K-Neighbors (MW - inCV),7.262931500183419e-27,1.0,1.202549695455903e-18,7.455514937757933e-46,0.012124393840076693,3.2935251154188633e-40,1.6827442446024606e-09,2.1544557698829648e-07,0.0002987485931043681,1.0100686316187937e-12,1.4265322901568783e-07,2.4304399844629307e-07,5.6429711718126716e-08,2.057984860862642e-12,0.0007008306211174104,0.0028282676240791327,0.0350175353807473,0.22591755720234888,0.4596362245541984,0.30092238220694395,1.0,1.0,1.0,1.0,0.02918794143248121,1.0,1.0,1.0,1.0,1.0,1.0,0.049435662867559814,0.0031978185246980956,4.0748322492055274e-05,5.934604370261486e-19,1.6137111624727073e-10,2.8402540238344467e-11,7.240122512285111e-24,2.0562229105010807e-43,6.399995169393015e-51,3.252518371931666e-25,0.07469256560991569,5.863028374812528e-44,1.6397618282925925e-09,9.392724512894782e-43,1.4818801859134605e-49
K-Neighbors (Wilcoxon - inCV),5.281495819773747e-30,1.0,3.9428261211945196e-16,4.9898282816196347e-42,0.133016370784856,1.3025371053169239e-36,1.7177093092739633e-11,3.440828643732476e-09,1.0378105963095987e-05,5.4812085956778706e-15,2.1858685739802745e-09,3.929151061191423e-09,8.045414058596417e-10,1.1830906581626591e-14,2.7743295904233325e-05,0.00013718938464579838,0.002492850046610488,0.022724484748039328,0.053470217024534625,0.031979141065275926,1.0,1.0,1.0,1.0,0.0020219882217594235,1.0,1.0,1.0,1.0,1.0,1.0,0.003726068944016179,0.00015818538845605232,1.1099823876786059e-06,1.2023211054764703e-21,1.3355849373796962e-12,2.6356788381953214e-09,4.7666399041706864e-21,1.0972180405644406e-39,6.70617138811658e-47,2.875565643280703e-28,0.5936575211897045,3.2935251154188633e-40,1.0842451956220656e-07,4.6842186881984806e-39,1.3773238886165303e-45
K-Neighbors (Kruskal - inCV),4.5075838376506257e-20,1.0,3.121024183574068e-25,1.637857057064063e-55,7.928401612489697e-06,2.4924836148319562e-49,1.8755202296623788e-05,0.0008263223071432275,0.15699681769490612,4.738238165672976e-08,0.0006023580636854157,0.0009055174809820392,0.0002987485931043681,8.438958058171757e-08,0.2817503216965126,0.6998969133336846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7559077906828956,0.03845655275659922,3.1673625758323216e-13,2.8674826342959075e-06,1.24433240775086e-16,3.5653666588234736e-31,7.650016720518234e-53,5.040792759909038e-61,1.2462587185321592e-18,0.0001032073459817527,1.9400955760698225e-53,1.6472280307110736e-14,4.030178601824811e-52,1.5229662526880012e-59
K-Neighbors (Chi-square - inCV),4.926253774101845e-11,0.003474475659729349,9.332021982290342e-38,8.236524269321063e-73,5.585905209591282e-13,8.127754260474388e-66,0.5433366034647884,1.0,1.0,0.016301206336976886,1.0,1.0,1.0,0.023416257404023044,1.0,1.0,1.0,1.0,1.0,1.0,0.07889242299143859,0.02918794143248121,0.0020219882217594235,1.0,1.0,0.00023657963361166408,0.0012382178816396985,0.005524255597258233,1.0,0.029576295536370784,0.0012828991071768248,1.0,1.0,1.0,5.302457670631585e-06,0.19173603553468982,3.169815324199235e-27,8.106352899901811e-45,8.420477875565309e-70,5.397850157320543e-79,6.078088666645011e-10,2.1770666378290645e-11,1.7867902457819042e-70,1.4910183135817818e-24,5.515039779599133e-69,2.462831811422496e-77
K-Neighbors (KS - inCV),2.399260213559911e-32,1.0,1.942596369410492e-14,2.1502690844852194e-39,0.5606338195143937,3.941863291795188e-34,5.086459129203737e-13,1.4394638564656664e-10,7.399376357443968e-07,1.043791304467095e-16,8.813756357353683e-11,1.6581468702476286e-10,3.004371533153582e-11,2.3377772702232627e-16,2.131984481682362e-06,1.2119737019704525e-05,0.0002987485931043681,0.0034211400733143273,0.009095642560285146,0.005005118297049789,1.0,1.0,1.0,1.0,0.00023657963361166408,1.0,1.0,1.0,0.3546223136344311,1.0,1.0,0.0004639478100207461,1.4143342095891623e-05,6.715352291497265e-08,1.1422414972143936e-23,3.390755206173807e-14,5.370126124483839e-08,3.9290388107435794e-19,4.077823000728523e-37,4.0052003787732596e-44,1.5193547854067215e-30,1.0,1.2674004953149902e-37,1.734746064824994e-06,1.674710885136312e-36,7.57898846851288e-43
Decision Tree (MW - inCV),1.5193547854067215e-30,1.0,1.0028849091745562e-15,2.1130951594209327e-41,0.1896769711143363,5.042640617045178e-36,7.655522133078834e-12,1.6827442446024606e-09,5.6552055932667924e-06,2.2084444852660623e-15,1.0614022957919093e-09,1.910979211636667e-09,3.7767058624125226e-10,4.810310254376372e-15,1.542792613276162e-05,7.999910275464448e-05,0.0015382735485257254,0.014906634597761618,0.03593938304778147,0.021045319861790004,1.0,1.0,1.0,1.0,0.0012382178816396985,1.0,1.0,1.0,0.9717510324899566,1.0,1.0,0.002333715569438717,9.228990047302511e-05,5.840062765936413e-07,4.113669208026191e-22,5.756402183036604e-13,5.413567051250358e-09,1.3620545533006332e-20,4.452413862194935e-39,3.0577396237027e-46,8.540776863364539e-29,0.8054577012383788,1.349652145230278e-39,2.105690816327841e-07,1.8962611215466095e-38,6.151375117410097e-45
Decision Tree (Wilcoxon - inCV),7.464142814412155e-29,1.0,5.141054499082224e-17,2.168906154026874e-43,0.058355352836258714,6.867893865492719e-38,9.328525513681234e-11,1.6024617719388844e-08,3.6653123406178617e-05,3.7375163351721234e-14,1.0230743164670269e-08,1.8255570903352542e-08,3.830832388238923e-09,7.937640571521949e-14,9.381032526024356e-05,0.0004295938562240111,0.006774831086115407,0.054140737363520625,0.1225446556668376,0.07469256560991569,1.0,1.0,1.0,1.0,0.005524255597258233,1.0,1.0,1.0,1.0,1.0,1.0,0.009978035368216486,0.0004886776378551219,4.2201388849987286e-06,1.1688815547321989e-20,7.878987792705025e-12,5.436984070895776e-10,4.809971584717404e-22,5.220169883322742e-41,2.491562567811617e-48,3.7719830074696324e-27,0.30092238220694395,1.5367713213427728e-41,2.484266794864398e-08,2.281640596534504e-40,5.35443480536038e-47
Decision Tree (Kruskal - inCV),1.6859534531558416e-17,1.0,3.0036020834614865e-28,8.651909168712854e-60,1.9130664210771896e-07,2.184614266448698e-53,0.00048149907658903094,0.01316646174630041,1.0,2.229943915909721e-06,0.009978035368216486,0.01420964636944471,0.005345842190227095,3.775321890862262e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3546223136344311,0.9717510324899566,1.0,1.0,1.0,0.9876046623170233,1.0,1.0,0.3463310891455451,4.024611823456544e-11,9.228990047302511e-05,3.789499328318618e-19,1.7129407649603374e-34,4.9799254384307113e-57,1.7811964880722143e-65,3.813483247598983e-16,3.2911207931762265e-06,1.2032085248808229e-57,7.079595127803837e-17,2.782558998971866e-56,5.9778677735854575e-64
