,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (All),1.0,2.1826774542814003e-29,3.8187893102357114e-90,2.0637794839254114e-138,3.481330083673749e-50,3.412111008031648e-129,0.0037838239978736183,0.00011194654354601668,6.392055401883259e-08,0.1842481714033431,0.00015818538845605232,0.00010130710621187065,0.00032715936906794346,0.13406870329404424,2.020793926893978e-08,2.6356788381953214e-09,3.474831925576875e-11,6.123207332916979e-13,9.955828752365648e-14,3.072652784861121e-13,1.386400947199375e-25,7.262931500183419e-27,5.281495819773747e-30,4.5075838376506257e-20,4.926253774101845e-11,2.399260213559911e-32,1.5193547854067215e-30,7.464142814412155e-29,1.6859534531558416e-17,7.578349417925781e-27,1.6630866628506533e-30,1.7671175601426885e-11,2.1858685739802745e-09,7.064223704209872e-07,1.0,0.01532869574334236,3.4821454685389417e-74,2.262430172240223e-100,1.832565612934925e-134,1.9264703076712501e-146,1.0,3.407098245299368e-47,2.3833760918335558e-135,6.022319154372703e-70,2.1828768096666464e-133,2.6749504704691284e-144
Logistic Regression (All),2.1826774542814003e-29,1.0,1.333539079559788e-16,9.392724512894782e-43,0.0855947344337426,2.7166362300459915e-37,4.263144126204959e-11,7.854382717988311e-09,2.0442654739602733e-05,1.5434254378098105e-14,5.010011554676481e-09,8.965828753645582e-09,1.8623443106878224e-09,3.286000104718453e-14,5.364752915937467e-05,0.00025598247933187777,0.004270318801742008,0.0364080424745452,0.08358309054853547,0.050534620165112114,1.0,1.0,1.0,1.0,0.003474475659729349,1.0,1.0,1.0,1.0,1.0,1.0,0.006348635883391169,0.00029349579844442023,2.278046361783974e-06,4.077963453957183e-21,3.463308464885284e-12,1.1478961518760789e-09,1.4057426687868327e-21,2.1669660348469995e-40,1.1599180573284998e-47,1.1469395747716496e-27,0.4176536474469009,6.441683094599122e-41,4.979753482793392e-08,9.386392248379563e-40,2.4479164021897593e-46
SVM (All),3.8187893102357114e-90,1.333539079559788e-16,1.0,5.364752915937467e-05,2.7743295904233325e-05,0.005005118297049789,8.145975274017599e-57,6.860005298374157e-52,8.129388825418702e-44,8.812510882370131e-64,2.5099339644998124e-52,9.209353920774251e-52,2.7728268892102224e-53,3.893254930100249e-63,9.392724512894782e-43,5.799013079357992e-41,1.7181363448224813e-37,1.3426480464846824e-34,2.1651653160866104e-33,3.941863291795188e-34,9.32017247422787e-20,1.202549695455903e-18,3.9428261211945196e-16,3.121024183574068e-25,9.332021982290342e-38,1.942596369410492e-14,1.0028849091745562e-15,5.141054499082224e-17,3.0036020834614865e-28,1.160354053585004e-18,9.373904501398883e-16,5.52497729355696e-37,8.3700147121172e-41,3.614581088884735e-46,5.367859442975595e-76,4.423714444217697e-59,1.0,1.0,0.000414878246971676,5.450938184141601e-07,2.7187680074413326e-87,1.9029013698529167e-06,0.0002659266601169612,1.0,0.0007008306211174104,1.9441777760239878e-06
K-Neighbors (All),2.0637794839254114e-138,9.392724512894782e-43,5.364752915937467e-05,1.0,1.23923268114851e-23,1.0,1.3802539939016235e-97,2.5304593822164273e-91,7.415540780291729e-81,2.537803042480082e-106,6.981200944478632e-92,3.690635437475651e-91,4.184491596209413e-93,1.6149007407912778e-105,1.8554622654658652e-79,4.323425880286259e-77,1.8726979973900106e-72,1.5019372517714624e-68,6.639033006338698e-67,6.513008551940931e-68,1.6301712302427902e-47,7.455514937757933e-46,4.9898282816196347e-42,1.637857057064063e-55,8.236524269321063e-73,2.1502690844852194e-39,2.1130951594209327e-41,2.168906154026874e-43,8.651909168712854e-60,7.05825659173155e-46,1.9011863743027659e-41,8.994233123299841e-72,7.053485264006978e-77,6.158184439594715e-84,2.2699085281703007e-121,1.9345540057622435e-100,1.8549163305021015e-10,0.014906634597761618,1.0,1.0,5.2968302674200423e-135,7.929698162983611e-26,1.0,2.7082355622988954e-12,1.0,1.0
Decision Tree (All),3.481330083673749e-50,0.0855947344337426,2.7743295904233325e-05,1.23923268114851e-23,1.0,1.6492387169584857e-19,1.4452070312878056e-25,3.5067747703944193e-22,8.151171763781415e-17,1.7399324765741068e-30,1.7689504318352003e-22,4.276165930356212e-22,3.913051184034973e-23,5.049943584042751e-30,3.9428261211945196e-16,5.4812085956778706e-15,8.113752316642441e-13,4.515534390189181e-11,2.32809080166381e-10,8.574649875982739e-11,0.0038423888732942576,0.012124393840076693,0.133016370784856,7.928401612489697e-06,5.585905209591282e-13,0.5606338195143937,0.1896769711143363,0.058355352836258714,1.9130664210771896e-07,0.011953115972833432,0.1856098540488041,1.6570755413618743e-12,6.920776766545405e-15,2.339666246767929e-18,1.9393204906387346e-39,3.7719830074696324e-27,0.1842481714033431,1.9721281831988072e-08,7.759902732496586e-22,2.0384060560476863e-27,5.531653743691466e-48,1.0,3.1118134712693006e-22,1.0,2.3485956212735807e-21,2.1605142610650094e-26
Naive Bayes (All),3.412111008031648e-129,2.7166362300459915e-37,0.005005118297049789,1.0,1.6492387169584857e-19,1.0,1.2694591356381539e-89,1.3729542495485241e-83,1.586628025944426e-73,4.649891557738316e-98,3.9762190660753326e-84,1.9745825530029564e-83,2.642060695185863e-85,2.7744690812889227e-97,3.4615255879318447e-72,6.435745211205146e-70,1.7811964880722143e-65,9.652287095205856e-62,3.588721844843548e-60,3.912856285467408e-61,9.001762055883342e-42,3.2935251154188633e-40,1.3025371053169239e-36,2.4924836148319562e-49,8.127754260474388e-66,3.941863291795188e-34,5.042640617045178e-36,6.867893865492719e-38,2.184614266448698e-53,3.12830048819118e-40,4.567014736412187e-36,7.988548134392214e-65,1.0297037098347666e-69,1.7545787114537406e-76,1.2451493755916382e-112,2.2351835064436124e-92,1.1098351947320346e-07,0.43152342989568315,1.0,1.0,7.080272839345869e-126,1.5815488930686272e-21,1.0,2.698701931657196e-09,1.0,1.0
Random Forest (MW - inCV),0.0037838239978736183,4.263144126204959e-11,8.145975274017599e-57,1.3802539939016235e-97,1.4452070312878056e-25,1.2694591356381539e-89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.472839573898745,0.08358309054853547,0.0364080424745452,0.06075200252166886,1.0230743164670269e-08,1.6827442446024606e-09,1.7177093092739633e-11,1.8755202296623788e-05,0.5433366034647884,5.086459129203737e-13,7.655522133078834e-12,9.328525513681234e-11,0.00048149907658903094,1.7202807685846482e-09,8.108833091242256e-12,0.36172619430175945,1.0,1.0,1.0,1.0,5.863028374812528e-44,3.002171116679848e-65,3.6238268888697516e-94,1.409194118475303e-104,0.016301206336976886,2.2018875198433333e-23,6.197114238393095e-95,1.2779403744815038e-40,3.0863401466876518e-93,1.045430952102376e-102
Random Forest (Wilcoxon - inCV),0.00011194654354601668,7.854382717988311e-09,6.860005298374157e-52,2.5304593822164273e-91,3.5067747703944193e-22,1.3729542495485241e-83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8870151755748876,0.46400956655799647,0.6938248139506481,1.1099823876786059e-06,2.1544557698829648e-07,3.440828643732476e-09,0.0008263223071432275,1.0,1.4394638564656664e-10,1.6827442446024606e-09,1.6024617719388844e-08,0.01316646174630041,2.2043078073417393e-07,1.7652964629009206e-09,1.0,1.0,1.0,0.1994456272757465,1.0,1.349652145230278e-39,5.236072341797061e-60,5.312088359897231e-88,3.9861089514609404e-98,0.0006248642826569534,3.869262437624923e-20,9.576893271317017e-89,2.0466079375275496e-36,4.2401395578625805e-87,2.6244402186079025e-96
Random Forest (Kruskal - inCV),6.392055401883259e-08,2.0442654739602733e-05,8.129388825418702e-44,7.415540780291729e-81,8.151171763781415e-17,1.586628025944426e-73,1.0,1.0,1.0,0.6068378951113452,1.0,1.0,1.0,0.7919770039840318,1.0,1.0,1.0,1.0,1.0,1.0,0.001071050127481567,0.0002987485931043681,1.0378105963095987e-05,0.15699681769490612,1.0,7.399376357443968e-07,5.6552055932667924e-06,3.6653123406178617e-05,1.0,0.0003026057572549643,5.907227410355805e-06,1.0,1.0,1.0,0.0011724298100999843,1.0,1.7185781530882133e-32,2.3643318863442773e-51,1.0567788932978234e-77,2.526759711688041e-87,5.573817225845127e-07,5.139156816939244e-15,2.0779765657633831e-78,1.3818882764652522e-29,7.559321125428673e-77,1.365058646127562e-85
Random Forest (Chi-square - inCV),0.1842481714033431,1.5434254378098105e-14,8.812510882370131e-64,2.537803042480082e-106,1.7399324765741068e-30,4.649891557738316e-98,1.0,1.0,0.6068378951113452,1.0,1.0,1.0,1.0,1.0,0.36172619430175945,0.133016370784856,0.013582833051138552,0.0013804993885796631,0.00048149907658903094,0.0009207774967806161,8.108833091242256e-12,1.0100686316187937e-12,5.4812085956778706e-15,4.738238165672976e-08,0.016301206336976886,1.043791304467095e-16,2.2084444852660623e-15,3.7375163351721234e-14,2.229943915909721e-06,1.0405945635135583e-12,2.3610177135891766e-15,0.00936369344159992,0.12155911255337047,1.0,1.0,1.0,3.481330083673749e-50,1.2422289760340653e-72,8.934606003243077e-103,1.4516020341786963e-113,0.5433366034647884,4.107546402427759e-28,1.4309975333945448e-103,1.2467200326861727e-46,8.218517829830191e-102,1.251329450812155e-111
