,avg_rank
SVM (All),1.905
Integrated-SelectFromModel (L1-LR selector) + SVM,2.215
Logistic Regression (All),4.285
Integrated-SelectFromModel (RF selector) + LR,6.01
Integrated-SelectFromModel (RF selector) + RF,6.765
Random Forest (All),8.435
Random Forest (MW - inCV),9.445
Random Forest (Wilcoxon - inCV),10.1
Integrated-RFECV (L1-LR) + LR,10.315
Integrated-SelectFromModel (L1-LR selector) + LR,10.52
Naive Bayes (All),10.6
Random Forest (KS - inCV),11.06
Random Forest (Chi-square - inCV),11.4
Random Forest (Kruskal - inCV),15.26
SVM (MW - inCV),15.895
SVM (Chi-square - inCV),16.125
SVM (Wilcoxon - inCV),16.35
SVM (KS - inCV),19.875
Logistic Regression (MW - inCV),20.72
Logistic Regression (Wilcoxon - inCV),21.59
Logistic Regression (Chi-square - inCV),21.805
Decision Tree (MW - inCV),23.945
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,24.13
Decision Tree (Wilcoxon - inCV),24.58
Integrated-RFECV (L1-LR) + Naive Bayes,24.6
Logistic Regression (KS - inCV),25.54
Decision Tree (Chi-square - inCV),26.115
Decision Tree (KS - inCV),26.28
Decision Tree (All),26.4
Decision Tree (Kruskal - inCV),26.405
Naive Bayes (Chi-square - inCV),32.235
SVM (Kruskal - inCV),32.965
Naive Bayes (MW - inCV),32.99
Naive Bayes (Wilcoxon - inCV),33.405
K-Neighbors (Chi-square - inCV),33.47
Naive Bayes (KS - inCV),35.18
K-Neighbors (MW - inCV),35.615
K-Neighbors (Wilcoxon - inCV),36.05
K-Neighbors (Kruskal - inCV),37.305
Logistic Regression (Kruskal - inCV),37.535
K-Neighbors (KS - inCV),37.97
Naive Bayes (Kruskal - inCV),39.61
Integrated-RFECV (L1-LR) + KNN,43.72
Integrated-SelectFromModel (L1-LR selector) + KNN,43.72
Integrated-SelectFromModel (RF selector) + KNN,44.74
K-Neighbors (All),45.82
