,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
SVM (KS - inCV),1.302581903239234e-60,3.427126913768644e-110,5.3088518999729e-144,9.885036595446117e-280,9.804037208639068e-20,4.507130779752979e-40,1.5039451195307773e-50,1.810524999061952e-44,1.2867516588229953e-09,1.7690047319584666e-33,3.2477199971054334e-36,1.0,0.8979088000937148,2.1380036740507803e-139,0.38132438846468947,9.058661343061253e-15,5.056121051494892e-07,2.2320533519558844e-05,8.42505020191642e-79,3.546728394199865e-06,1.0,3.2653070147150333e-112,3.6906864817578656e-118,5.1077794282171234e-136,9.006880259681194e-85,7.083187827523674e-146,2.2673477872501805e-07,5.12373851933338e-10,9.192649708505289e-20,5.2376961352983095e-18,5.330659452519342e-19,4.3152818109656657e-79,5.401491497888199e-84,2.6541175904584996e-171,1.724196604628918e-70,2.1640859352942776e-106,9.273343701701288e-41,2.1380036740507803e-139,3.6489095806284534e-241,4.1723818904675013e-08,4.9278764493572436e-79,4.7844834324850644e-88,1.1118254857594482e-259,1.4941497952199386e-42,3.6489095806284534e-241,4.1890634544728086e-10
K-Neighbors (MW - inCV),3.607717550628885e-303,0.0,0.0,2.0004571964066366e-48,1.4690490175586906e-39,1.940423836838075e-262,5.8032937628854e-284,1.0741418498460035e-271,2.640460030252536e-181,7.86118021438128e-248,5.235210260316059e-254,5.0808256594315386e-101,5.199835254295541e-90,0.39550517718620076,2.235414387174307e-87,3.24569867630568e-47,4.602220765652612e-171,7.276298108100382e-164,0.010212812067537493,2.0618655907299292e-167,3.2653070147150333e-112,1.0,1.0,0.9634932253531964,0.1456985528154099,0.053361208585764,5.157923485466293e-63,1.7601039808439168e-56,1.6172586029045046e-39,5.0357228327857055e-42,1.3730753944378622e-40,0.011737712455040182,0.10865511075960689,4.442604649048451e-07,6.877479033876704e-05,1.0,6.516982045280009e-264,0.0,1.2887849223754974e-30,4.468660972868887e-61,0.0,0.0,8.495565286029677e-39,1.0550875852023373e-267,1.2887849223754974e-30,2.7809450269515333e-56
K-Neighbors (Wilcoxon - inCV),0.0,0.0,0.0,2.004376520509459e-44,2.3863754569582624e-43,1.7349423789212768e-270,3.4153698139953207e-292,7.972792851619521e-280,1.9021016749702598e-188,9.654530996039916e-256,5.596771602800525e-262,1.009742113489753e-106,1.9014677165386186e-95,1.0,9.644605812870665e-93,2.5701543558538747e-51,4.676822346070002e-178,9.57432720597041e-171,0.0006043530221692387,2.406854704860624e-174,3.6906864817578656e-118,1.0,1.0,1.0,0.01521320430431984,0.39550517718620076,1.1037734822196957e-67,6.36808869304303e-61,2.6386254606506894e-43,6.331758928436725e-46,2.004376520509459e-44,0.0007166031388047726,0.010453734917539268,1.704411539284115e-05,2.068159831785065e-06,1.0,5.653113115211374e-272,0.0,2.131275929589096e-27,1.1197144011057053e-65,0.0,0.0,3.373374423013343e-35,8.476570254272072e-276,2.131275929589096e-27,1.027057051823897e-60
K-Neighbors (Kruskal - inCV),0.0,0.0,0.0,8.540287800674712e-34,3.500685140646181e-55,4.294611725898023e-294,0.0,1.196091129634495e-303,1.4155468143912376e-209,5.560136377066345e-279,2.242572291472963e-285,6.931574978880958e-124,7.099368811647012e-112,1.0,5.500306331018055e-109,5.085809168836758e-64,8.621406185611594e-199,3.510993128389625e-191,1.8837075515186336e-08,6.224711219226019e-195,5.1077794282171234e-136,0.9634932253531964,1.0,1.0,1.7608461875469346e-06,1.0,5.685607203201966e-82,1.3499208771017269e-74,3.9180471526567145e-55,4.798689202080976e-58,2.2151034850728467e-56,2.3904621775012895e-08,1.0206142639626989e-06,0.06745168007723364,1.0219756173357804e-11,0.15840119600893054,1.2878975767261917e-295,0.0,4.663660543990305e-19,8.57856322030797e-80,0.0,0.0,9.939255462261103e-26,1.574884959107212e-299,4.663660543990305e-19,2.277253378635078e-74
K-Neighbors (Chi-square - inCV),8.313642027656289e-263,0.0,0.0,2.2186509010736303e-70,3.1300610096941045e-23,7.155047742829947e-224,2.1174458440566117e-244,1.0941418926473541e-232,1.315823567196238e-147,5.277996623192928e-210,7.354198070276909e-216,7.024862939546872e-75,3.0135096855236264e-65,2.3596778368004196e-07,5.814607598415273e-63,2.657237439074212e-29,3.8179492077430875e-138,1.6235258339336308e-131,1.0,8.898616139227898e-135,9.006880259681194e-85,0.1456985528154099,0.01521320430431984,1.7608461875469346e-06,1.0,3.940679641465662e-09,3.035913756568333e-42,7.931091250009997e-37,3.370241337212633e-23,3.5797593533758585e-25,4.862658880991469e-24,1.0,1.0,1.9989568111472037e-17,1.0,0.9065270431255209,2.8352211956415104e-225,0.0,7.584456024640593e-49,1.2489607859246286e-40,4.294611725898023e-294,0.0,7.336604251709892e-59,6.983840996998186e-229,7.584456024640593e-49,1.1591354418533413e-36
K-Neighbors (KS - inCV),0.0,0.0,0.0,1.0340496894839978e-28,5.808140956682391e-62,8.071320485206904e-307,0.0,0.0,4.489326683685306e-221,1.5770246444208148e-291,5.30629697352469e-298,2.128101474664942e-133,5.2315665849651715e-121,1.0,5.067991022547903e-118,2.867713945621972e-71,4.33695980763326e-210,2.4455840928799297e-202,2.0941575535505796e-11,3.6827900568846464e-206,7.083187827523674e-146,0.053361208585764,0.39550517718620076,1.0,3.940679641465662e-09,1.0,5.199835254295541e-90,2.5193082861077542e-82,6.541561098661011e-62,5.582573146879318e-65,3.172445750618442e-63,2.7549325688939554e-11,2.0877992597520987e-09,1.0,3.818870846395957e-15,0.004289201075713167,0.0,0.0,3.1949542724482862e-15,9.64485680786767e-88,0.0,0.0,2.8755646706668386e-21,0.0,3.1949542724482862e-15,4.3407436381760086e-82
Decision Tree (MW - inCV),4.0468500354055596e-109,4.148793974614214e-170,1.7224065490721368e-209,1.1343441527445433e-206,0.030934500054424458,8.536227329199182e-82,5.9495820429732995e-96,8.392878917315981e-88,3.6939412065180115e-35,1.4737140497777952e-72,1.995334557579605e-76,0.00021980137314749648,0.053361208585764,1.0328516407377776e-84,0.14808010725897985,1.0,3.336199245054909e-30,7.31918331326635e-27,6.52178166404416e-38,1.718182348839697e-28,2.2673477872501805e-07,5.157923485466293e-63,1.1037734822196957e-67,5.685607203201966e-82,3.035913756568333e-42,5.199835254295541e-90,1.0,1.0,0.03029500777879056,0.131633401490034,0.058152867451663905,4.025360558092574e-38,1.127577117462549e-41,3.351616785914631e-111,4.912076876374344e-32,1.670043610738865e-58,9.679480986335251e-83,3.339605032694122e-204,6.101886870192162e-172,1.0,2.2028761346224338e-132,1.7648743146102213e-143,1.5744195717330183e-188,3.4185282308038873e-85,6.101886870192162e-172,1.0
Decision Tree (Wilcoxon - inCV),9.551976795890347e-118,2.501861234255162e-180,1.8280981653712526e-220,6.178727587239618e-196,0.5996851353290269,1.85617164412951e-89,3.777499807477601e-104,1.063975505042754e-95,1.8481816595743066e-40,7.507872287450938e-80,7.094625580952628e-84,1.4334857204582251e-06,0.0011529846955735915,3.1118989602983498e-77,0.004692268445195248,1.0,3.6939412065180115e-35,1.4190137324062923e-31,8.958880289206848e-33,2.535406733948945e-33,5.12373851933338e-10,1.7601039808439168e-56,6.36808869304303e-61,1.3499208771017269e-74,7.931091250009997e-37,2.5193082861077542e-82,1.0,1.0,0.5928564618265855,1.0,0.9347384295063074,5.7410909868607306e-33,2.6934877549200154e-36,8.945795088380169e-103,2.7196380313450457e-27,3.4684345576151245e-52,1.9243730543355166e-90,4.406131916807078e-215,6.628680974080837e-162,1.0,1.0825773017548822e-141,4.397577603163436e-153,3.885975946937824e-178,5.425423821809472e-93,6.628680974080837e-162,1.0
Decision Tree (Kruskal - inCV),5.3088518999729e-144,7.3320312080195095e-211,5.25244195053661e-253,3.161808883413369e-166,1.0,4.313594519675415e-113,3.2392806841727674e-129,5.8052515979611794e-120,1.370680647978823e-57,1.888225159692919e-102,6.402947989834547e-107,7.13320858416702e-15,1.6245094370732827e-10,1.9345880509994463e-57,1.4950386596027695e-09,1.0,2.5701543558538747e-51,4.967755119535268e-47,6.011957221817931e-20,3.9739841336137096e-49,9.192649708505289e-20,1.6172586029045046e-39,2.6386254606506894e-43,3.9180471526567145e-55,3.370241337212633e-23,6.541561098661011e-62,0.03029500777879056,0.5928564618265855,1.0,1.0,1.0,4.219131183823197e-20,9.109096999770474e-23,3.830545381314781e-80,1.17314967164375e-15,6.870451619568474e-36,3.522021086707503e-114,2.2236573451209583e-247,2.42540510004343e-134,0.07876432123348551,8.629778181505191e-170,5.887876052765067e-182,1.6825839183578494e-149,5.462694154828592e-117,2.42540510004343e-134,0.6342436315295055
Decision Tree (Chi-square - inCV),1.0835710384534232e-139,6.629024394180174e-206,9.671963604236184e-248,7.977951096048675e-171,1.0,3.4738808878398854e-109,4.3765116321030875e-125,5.865923337705089e-116,1.0971830768642386e-54,1.06906701391681e-98,4.22678202337506e-103,2.414552992310498e-13,3.0912981295747336e-09,2.098511489958697e-60,2.4953079152368625e-08,1.0,1.44848947292455e-48,2.213259826972603e-44,8.790419293836315e-22,1.9768689865874907e-46,5.2376961352983095e-18,5.0357228327857055e-42,6.331758928436725e-46,4.798689202080976e-58,3.5797593533758585e-25,5.582573146879318e-65,0.131633401490034,1.0,1.0,1.0,1.0,6.054464641235997e-22,1.009072657447622e-24,1.4120701380581727e-83,2.6103838385558992e-17,2.73532802968116e-38,2.940050241064159e-110,3.753497897959462e-242,1.3832331935016135e-138,0.29940564590053176,3.3483801227220085e-165,3.0089211470717896e-177,6.319842167808634e-154,5.036522483518866e-113,1.3832331935016135e-138,1.0
Decision Tree (KS - inCV),3.882689444415295e-142,1.0148198220842239e-208,9.869408807574872e-251,3.3349397395556792e-168,1.0,2.1051937848117084e-111,1.9793375952837504e-127,3.151809306545568e-118,2.4820146564042187e-56,7.940137350224288e-101,2.8755055962307467e-105,3.308915650837943e-14,5.970748533928843e-10,1.0437116599008083e-58,5.0162034602270175e-09,1.0,4.0191584140156542e-50,7.020575143578542e-46,9.990371376089607e-21,5.854731668806315e-48,5.330659452519342e-19,1.3730753944378622e-40,2.004376520509459e-44,2.2151034850728467e-56,4.862658880991469e-24,3.172445750618442e-63,0.058152867451663905,0.9347384295063074,1.0,1.0,1.0,6.964852612443186e-21,1.340995302939014e-23,1.2835246626688676e-81,2.3245782057374853e-16,6.5675742391940306e-37,1.7512996316183673e-112,4.024740702941459e-245,3.6565813509551755e-136,0.1433348982634586,8.289826098933726e-168,6.36695012923693e-180,2.1095540481199167e-151,2.843084791506119e-115,3.6565813509551755e-136,0.9927844698050815
Naive Bayes (MW - inCV),5.235210260316059e-254,0.0,0.0,8.533456005957814e-76,3.938610713398691e-20,1.6307927132754676e-215,8.45348240004912e-236,3.1982401279190376e-224,1.975111325401254e-140,7.872611402536937e-202,1.3131968309633581e-207,1.7039049326303307e-69,3.378303075317272e-60,2.534780695340428e-09,5.385362638195015e-58,7.81639014955395e-26,3.7169739507189757e-131,1.1617768270499971e-124,1.0,7.403962036470542e-128,4.3152818109656657e-79,0.011737712455040182,0.0007166031388047726,2.3904621775012895e-08,1.0,2.7549325688939554e-11,4.025360558092574e-38,5.7410909868607306e-33,4.219131183823197e-20,6.054464641235997e-22,6.964852612443186e-21,1.0,1.0,2.5566812912066974e-20,1.0,0.11964817150243184,6.718792566827346e-217,0.0,1.8737690951201277e-53,1.3950331998738358e-36,5.3426198941245146e-285,2.443790473842944e-299,7.334387910638828e-64,1.8280981653712526e-220,1.8737690951201277e-53,8.206694764499638e-33
Naive Bayes (Wilcoxon - inCV),1.3052539314970185e-261,0.0,0.0,4.210172229509711e-71,8.465767749709281e-23,9.824580151288713e-223,3.1291659513469627e-243,1.5528701306944168e-231,1.2544835823939786e-146,6.848788341176135e-209,9.74888911080895e-215,3.8389245791173536e-74,1.4923779894225711e-64,1.3393009977831126e-07,2.8133105535253513e-62,8.029209712087608e-29,3.441918901356535e-137,1.3987324343165946e-130,1.0,7.806138251498214e-134,5.401491497888199e-84,0.10865511075960689,0.010453734917539268,1.0206142639626989e-06,1.0,2.0877992597520987e-09,1.127577117462549e-41,2.6934877549200154e-36,9.109096999770474e-23,1.009072657447622e-24,1.340995302939014e-23,1.0,1.0,8.339940220640798e-18,1.0,0.7082072490669464,3.909178158887507e-224,0.0,1.85878864225558e-49,4.507130779752979e-40,7.38957653154889e-293,2.6665200407938487e-307,1.5838721562625365e-59,9.773333929600767e-228,1.85878864225558e-49,3.9151929842482406e-36
Naive Bayes (Kruskal - inCV),0.0,0.0,0.0,7.818103125205593e-18,3.3515569992357234e-80,0.0,0.0,0.0,2.805522825508339e-250,0.0,0.0,5.168820508169445e-158,9.469762926488589e-145,0.19616752247645539,1.5225323184591562e-141,1.4491490006813215e-90,7.778290731510124e-239,9.723955435605525e-231,1.782088715871456e-20,9.885348588563274e-235,2.6541175904584996e-171,4.442604649048451e-07,1.704411539284115e-05,0.06745168007723364,1.9989568111472037e-17,1.0,3.351616785914631e-111,8.945795088380169e-103,3.830545381314781e-80,1.4120701380581727e-83,1.2835246626688676e-81,2.5566812912066974e-20,8.339940220640798e-18,1.0,2.6039093676717203e-25,7.830594147553856e-09,0.0,0.0,1.6040928077949456e-07,1.017280834340918e-108,0.0,0.0,5.1851133386754194e-12,0.0,1.6040928077949456e-07,1.6274111195881573e-102
Naive Bayes (Chi-square - inCV),2.337448354228518e-240,0.0,0.0,1.1821814001945103e-84,1.1042371439941368e-15,1.3634329331530184e-202,1.7959758706345657e-222,4.064209321258887e-211,1.9760697771586742e-129,3.4332752125975386e-189,7.537170265254924e-195,2.183762302606235e-61,1.2712877324912877e-52,7.382715244887345e-13,1.5039451195307773e-50,8.655532630904646e-21,1.8904579333452528e-120,3.522021086707503e-114,1.0,2.903209436319912e-117,1.724196604628918e-70,6.877479033876704e-05,2.068159831785065e-06,1.0219756173357804e-11,1.0,3.818870846395957e-15,4.912076876374344e-32,2.7196380313450457e-27,1.17314967164375e-15,2.6103838385558992e-17,2.3245782057374853e-16,1.0,1.0,2.6039093676717203e-25,1.0,0.0015484388859849248,5.9997995794038356e-204,0.0,4.468660972868887e-61,1.2887849223754974e-30,7.377082546265956e-271,5.3426198941245146e-285,4.146569320917615e-72,1.944227578089665e-207,4.468660972868887e-61,3.781890009362378e-27
Naive Bayes (KS - inCV),7.4416987469109215e-295,0.0,0.0,1.4193523318280214e-52,6.26844819233055e-36,1.83296544720235e-254,8.476570254272072e-276,1.231288635040826e-263,2.8924722198345345e-174,5.331992392741254e-240,4.092497059214722e-246,1.9014677165386186e-95,1.0328516407377776e-84,0.053361208585764,3.7925191086205556e-82,2.909918555414884e-43,3.531749566929117e-164,4.388282159709469e-157,0.10677479735443758,1.403641238668393e-160,2.1640859352942776e-106,1.0,1.0,0.15840119600893054,0.9065270431255209,0.004289201075713167,1.670043610738865e-58,3.4684345576151245e-52,6.870451619568474e-36,2.73532802968116e-38,6.5675742391940306e-37,0.11964817150243184,0.7082072490669464,7.830594147553856e-09,0.0015484388859849248,1.0,6.34420955459002e-256,0.0,5.420700868501123e-34,1.2448496015532125e-56,0.0,0.0,1.4941497952199386e-42,1.1118254857594482e-259,5.420700868501123e-34,5.415811924102694e-52
Integrated-SelectFromModel (L1-LR selector) + LR,0.18843292200174694,5.589289223960641e-18,1.3558854451655992e-34,0.0,4.108224553123163e-114,1.0,1.0,1.0,3.590546533397554e-10,1.0,1.0,2.2239238297816535e-48,7.833381114568231e-57,5.2400407405443695e-300,5.177312502275872e-59,1.2066831736979295e-102,3.0411037316193634e-13,1.17314967164375e-15,1.821465437677677e-216,1.9105081487698628e-14,9.273343701701288e-41,6.516982045280009e-264,5.653113115211374e-272,1.2878975767261917e-295,2.8352211956415104e-225,0.0,9.679480986335251e-83,1.9243730543355166e-90,3.522021086707503e-114,2.940050241064159e-110,1.7512996316183673e-112,6.718792566827346e-217,3.909178158887507e-224,0.0,5.9997995794038356e-204,6.34420955459002e-256,1.0,3.7634619421490207e-32,0.0,5.949535242507244e-85,3.4211432364083807e-06,3.5805439691589987e-09,0.0,1.0,0.0,1.091097567101557e-90
Integrated-SelectFromModel (L1-LR selector) + SVM,6.8424397309460564e-18,0.19911409969294477,1.0,0.0,2.7355363227428514e-247,8.958880289206848e-33,2.6057723427706665e-24,5.72017398988524e-29,2.810198337468379e-78,2.634419701926962e-39,1.8514887729895764e-36,4.339939230645923e-152,1.3522625645068365e-165,0.0,5.376904941460149e-169,6.87153472401173e-232,8.506692327516757e-86,2.2659534014188449e-91,0.0,1.344696716636008e-88,2.1380036740507803e-139,0.0,0.0,0.0,0.0,0.0,3.339605032694122e-204,4.406131916807078e-215,2.2236573451209583e-247,3.753497897959462e-242,4.024740702941459e-245,0.0,0.0,0.0,0.0,0.0,3.7634619421490207e-32,1.0,0.0,2.364058484708762e-207,2.4215065075225848e-09,2.442706742830888e-06,0.0,1.394057140028697e-30,0.0,1.9880468980747662e-215
Integrated-SelectFromModel (L1-LR selector) + KNN,0.0,0.0,0.0,0.1781707866984095,2.0569742358282157e-134,0.0,0.0,0.0,0.0,0.0,0.0,3.754919284596518e-226,4.947714161285118e-211,1.0920854013285956e-17,2.364058484708762e-207,3.730100998591305e-147,0.0,8.071320485206904e-307,1.0701012456811614e-53,0.0,3.6489095806284534e-241,1.2887849223754974e-30,2.131275929589096e-27,4.663660543990305e-19,7.584456024640593e-49,3.1949542724482862e-15,6.101886870192162e-172,6.628680974080837e-162,2.42540510004343e-134,1.3832331935016135e-138,3.6565813509551755e-136,1.8737690951201277e-53,1.85878864225558e-49,1.6040928077949456e-07,4.468660972868887e-61,5.420700868501123e-34,0.0,0.0,1.0,5.376904941460149e-169,0.0,0.0,1.0,0.0,1.0,1.3586439556434928e-161
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,1.3218366827224095e-111,4.619495058727172e-173,1.147900910375129e-212,1.593456319753554e-203,0.08021411402379998,5.401491497888199e-84,2.587388327924936e-98,4.517766307463438e-90,1.1591354418533413e-36,1.186104189292341e-74,1.439410863309211e-78,5.483519514488989e-05,0.019205126564382013,1.6728892569428184e-82,0.060938646290580614,1.0,1.3019785318078428e-31,3.3755162426649893e-28,2.233379333459831e-36,7.283252809275741e-30,4.1723818904675013e-08,4.468660972868887e-61,1.1197144011057053e-65,8.57856322030797e-80,1.2489607859246286e-40,9.64485680786767e-88,1.0,1.0,0.07876432123348551,0.29940564590053176,0.1433348982634586,1.3950331998738358e-36,4.507130779752979e-40,1.017280834340918e-108,1.2887849223754974e-30,1.2448496015532125e-56,5.949535242507244e-85,2.364058484708762e-207,5.376904941460149e-169,1.0,4.550389224940077e-135,2.9821754112907884e-146,1.7660046053566912e-185,1.9457405392479786e-87,5.376904941460149e-169,1.0
Integrated-SelectFromModel (RF selector) + RF,1.0,0.02717639840116553,1.0174393982694573e-10,0.0,1.0352273053356624e-169,1.7608461875469346e-06,0.00853329616054248,9.658872467717045e-05,1.229631428912546e-33,1.050831402557562e-09,2.853284161040312e-08,3.766581788781391e-89,4.0870867822208453e-100,0.0,6.63092904837131e-103,3.099617912660283e-156,7.723696748394425e-39,8.981621185513972e-43,1.5792243815498904e-284,8.411045153524884e-41,4.9278764493572436e-79,0.0,0.0,0.0,4.294611725898023e-294,0.0,2.2028761346224338e-132,1.0825773017548822e-141,8.629778181505191e-170,3.3483801227220085e-165,8.289826098933726e-168,5.3426198941245146e-285,7.38957653154889e-293,0.0,7.377082546265956e-271,0.0,3.4211432364083807e-06,2.4215065075225848e-09,0.0,4.550389224940077e-135,1.0,1.0,0.0,1.836111132820541e-05,0.0,5.462900878527221e-142
Integrated-SelectFromModel (RF selector) + LR,0.03648355383107453,0.8703011203450883,1.6603628712740913e-07,0.0,7.096342497129005e-182,1.6317019125813342e-09,4.538752362465387e-05,1.8965534839576945e-07,7.365555677190675e-40,2.552382696653798e-13,1.2691637514570826e-11,1.2374484078016541e-98,4.663834259117965e-110,0.0,5.870851870088441e-113,4.799456325262744e-168,1.810280839230092e-45,1.077591022994015e-49,7.339869046418909e-299,1.3789115561000215e-47,4.7844834324850644e-88,0.0,0.0,0.0,0.0,0.0,1.7648743146102213e-143,4.397577603163436e-153,5.887876052765067e-182,3.0089211470717896e-177,6.36695012923693e-180,2.443790473842944e-299,2.6665200407938487e-307,0.0,5.3426198941245146e-285,0.0,3.5805439691589987e-09,2.442706742830888e-06,0.0,2.9821754112907884e-146,1.0,1.0,0.0,2.6045293671014316e-08,0.0,2.1738012519147168e-153
Integrated-SelectFromModel (RF selector) + KNN,0.0,0.0,0.0,1.0,1.4146721547189197e-149,0.0,0.0,0.0,0.0,0.0,0.0,2.602826525077159e-244,8.547925969956585e-229,3.8530881984143196e-24,5.1945923535473013e-225,7.620399108828667e-163,0.0,0.0,3.986165262035889e-64,0.0,1.1118254857594482e-259,8.495565286029677e-39,3.373374423013343e-35,9.939255462261103e-26,7.336604251709892e-59,2.8755646706668386e-21,1.5744195717330183e-188,3.885975946937824e-178,1.6825839183578494e-149,6.319842167808634e-154,2.1095540481199167e-151,7.334387910638828e-64,1.5838721562625365e-59,5.1851133386754194e-12,4.146569320917615e-72,1.4941497952199386e-42,0.0,0.0,1.0,1.7660046053566912e-185,0.0,0.0,1.0,0.0,1.0,8.173236945970662e-178
Integrated-RFECV (L1-LR) + LR,0.4663778192640214,8.670999742822042e-17,5.7410909868607306e-33,0.0,6.392210001490322e-117,1.0,1.0,1.0,4.023637690228116e-11,1.0,1.0,2.599189882541946e-50,6.546248383879098e-59,6.1685054205710335e-304,3.9789647160117154e-61,2.474051345801908e-105,2.5948453182463534e-14,8.144001932778486e-17,4.9765967016855126e-220,1.4935445941875105e-15,1.4941497952199386e-42,1.0550875852023373e-267,8.476570254272072e-276,1.574884959107212e-299,6.983840996998186e-229,0.0,3.4185282308038873e-85,5.425423821809472e-93,5.462694154828592e-117,5.036522483518866e-113,2.843084791506119e-115,1.8280981653712526e-220,9.773333929600767e-228,0.0,1.944227578089665e-207,1.1118254857594482e-259,1.0,1.394057140028697e-30,0.0,1.9457405392479786e-87,1.836111132820541e-05,2.6045293671014316e-08,0.0,1.0,0.0,3.049975494404855e-93
Integrated-RFECV (L1-LR) + KNN,0.0,0.0,0.0,0.1781707866984095,2.0569742358282157e-134,0.0,0.0,0.0,0.0,0.0,0.0,3.754919284596518e-226,4.947714161285118e-211,1.0920854013285956e-17,2.364058484708762e-207,3.730100998591305e-147,0.0,8.071320485206904e-307,1.0701012456811614e-53,0.0,3.6489095806284534e-241,1.2887849223754974e-30,2.131275929589096e-27,4.663660543990305e-19,7.584456024640593e-49,3.1949542724482862e-15,6.101886870192162e-172,6.628680974080837e-162,2.42540510004343e-134,1.3832331935016135e-138,3.6565813509551755e-136,1.8737690951201277e-53,1.85878864225558e-49,1.6040928077949456e-07,4.468660972868887e-61,5.420700868501123e-34,0.0,0.0,1.0,5.376904941460149e-169,0.0,0.0,1.0,0.0,1.0,1.3586439556434928e-161
Integrated-RFECV (L1-LR) + Naive Bayes,5.067991022547903e-118,1.1834234179461716e-180,8.194511208516815e-221,1.3350755640670802e-195,0.6412584212786199,1.0552630382797207e-89,2.0647293820974438e-104,5.9495820429732995e-96,1.2489607859246286e-40,4.377785283442981e-80,4.104114689867519e-84,1.2100968770740075e-06,0.00101071466817752,5.2918809908377104e-77,0.004183013201133967,1.0,2.5609166970276646e-35,9.992011167585705e-32,1.279299540861561e-32,1.7690047319584666e-33,4.1890634544728086e-10,2.7809450269515333e-56,1.027057051823897e-60,2.277253378635078e-74,1.1591354418533413e-36,4.3407436381760086e-82,1.0,1.0,0.6342436315295055,1.0,0.9927844698050815,8.206694764499638e-33,3.9151929842482406e-36,1.6274111195881573e-102,3.781890009362378e-27,5.415811924102694e-52,1.091097567101557e-90,1.9880468980747662e-215,1.3586439556434928e-161,1.0,5.462900878527221e-142,2.1738012519147168e-153,8.173236945970662e-178,3.049975494404855e-93,1.3586439556434928e-161,1.0
