,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (KS - inCV),0.011737712455040182,2.6789894283378877e-21,4.7415000168021454e-39,0.0,7.449031669243395e-107,1.0,1.0,1.0,7.011986180675156e-08,1.0,1.0,1.946654153988014e-43,1.6503440025976684e-51,9.998761323540159e-290,1.336627009141123e-53,1.063975505042754e-95,1.3281640025324272e-10,8.231576306643668e-13,3.4904529418020775e-207,1.076402363484342e-11,3.2477199971054334e-36,5.235210260316059e-254,5.596771602800525e-262,2.242572291472963e-285,7.354198070276909e-216,5.30629697352469e-298,1.995334557579605e-76,7.094625580952628e-84,6.402947989834547e-107,4.22678202337506e-103,2.8755055962307467e-105,1.3131968309633581e-207,9.74888911080895e-215,0.0,7.537170265254924e-195,4.092497059214722e-246,1.0,1.8514887729895764e-36,0.0,1.439410863309211e-78,2.853284161040312e-08,1.2691637514570826e-11,0.0,1.0,0.0,4.104114689867519e-84
Logistic Regression (MW - inCV),1.1650905298795626e-69,8.90266009496916e-122,7.477136699338695e-157,5.275441659052599e-264,7.564927707671384e-15,1.2413851351597376e-47,6.546248383879098e-59,2.2196047653176772e-52,1.1113477177275235e-13,1.8481816595743066e-40,1.946654153988014e-43,1.0,1.0,3.811785885797585e-127,1.0,1.5467958680475322e-10,1.4726865715057196e-10,1.4111963525856457e-08,3.2120409869354504e-69,1.5660655740217896e-09,1.0,5.0808256594315386e-101,1.009742113489753e-106,6.931574978880958e-124,7.024862939546872e-75,2.128101474664942e-133,0.00021980137314749648,1.4334857204582251e-06,7.13320858416702e-15,2.414552992310498e-13,3.308915650837943e-14,1.7039049326303307e-69,3.8389245791173536e-74,5.168820508169445e-158,2.183762302606235e-61,1.9014677165386186e-95,2.2239238297816535e-48,4.339939230645923e-152,3.754919284596518e-226,5.483519514488989e-05,3.766581788781391e-89,1.2374484078016541e-98,2.602826525077159e-244,2.599189882541946e-50,3.754919284596518e-226,1.2100968770740075e-06
Logistic Regression (Wilcoxon - inCV),1.4699466072422256e-79,3.381853461346195e-134,1.6590787023384343e-170,4.21030020946452e-248,1.7059956805158088e-10,4.951407432276192e-56,4.035668235530062e-68,3.9789647160117154e-61,1.5214424539296662e-18,2.754830106817234e-48,1.6503440025976684e-51,1.0,1.0,5.334460796910019e-115,1.0,6.580042109693812e-07,6.314067872292413e-15,1.4732731228442795e-12,6.123034848530875e-60,1.0505003106090778e-13,0.8979088000937148,5.199835254295541e-90,1.9014677165386186e-95,7.099368811647012e-112,3.0135096855236264e-65,5.2315665849651715e-121,0.053361208585764,0.0011529846955735915,1.6245094370732827e-10,3.0912981295747336e-09,5.970748533928843e-10,3.378303075317272e-60,1.4923779894225711e-64,9.469762926488589e-145,1.2712877324912877e-52,1.0328516407377776e-84,7.833381114568231e-57,1.3522625645068365e-165,4.947714161285118e-211,0.019205126564382013,4.0870867822208453e-100,4.663834259117965e-110,8.547925969956585e-229,6.546248383879098e-59,4.947714161285118e-211,0.00101071466817752
Logistic Regression (Kruskal - inCV),0.0,0.0,0.0,5.356712907529683e-32,1.7247515793713948e-57,1.7682381346078411e-298,0.0,4.52522547302223e-308,1.5773040871276528e-213,2.64723082415853e-283,9.998761323540159e-290,3.811785885797585e-127,5.334460796910019e-115,1.0,4.454014111774245e-112,1.7329622819124056e-66,1.1230628212961588e-202,5.14063592563058e-195,1.993963671172226e-09,8.621406185611594e-199,2.1380036740507803e-139,0.39550517718620076,1.0,1.0,2.3596778368004196e-07,1.0,1.0328516407377776e-84,3.1118989602983498e-77,1.9345880509994463e-57,2.098511489958697e-60,1.0437116599008083e-58,2.534780695340428e-09,1.3393009977831126e-07,0.19616752247645539,7.382715244887345e-13,0.053361208585764,5.2400407405443695e-300,0.0,1.0920854013285956e-17,1.6728892569428184e-82,0.0,0.0,3.8530881984143196e-24,6.1685054205710335e-304,1.0920854013285956e-17,5.2918809908377104e-77
Logistic Regression (Chi-square - inCV),4.3407436381760086e-82,2.4575323805758567e-137,6.055885588225801e-174,3.19938991393686e-244,1.5660655740217896e-09,3.379255671471154e-58,1.724196604628918e-70,2.2034346319777332e-63,7.435875488354726e-20,2.599189882541946e-50,1.336627009141123e-53,1.0,1.0,4.454014111774245e-112,1.0,4.003244240949927e-06,4.180278585617675e-16,1.1756347102893493e-13,9.664520998110463e-58,7.564927707671384e-15,0.38132438846468947,2.235414387174307e-87,9.644605812870665e-93,5.500306331018055e-109,5.814607598415273e-63,5.067991022547903e-118,0.14808010725897985,0.004692268445195248,1.4950386596027695e-09,2.4953079152368625e-08,5.0162034602270175e-09,5.385362638195015e-58,2.8133105535253513e-62,1.5225323184591562e-141,1.5039451195307773e-50,3.7925191086205556e-82,5.177312502275872e-59,5.376904941460149e-169,2.364058484708762e-207,0.060938646290580614,6.63092904837131e-103,5.870851870088441e-113,5.1945923535473013e-225,3.9789647160117154e-61,2.364058484708762e-207,0.004183013201133967
Logistic Regression (KS - inCV),2.6697923582321454e-131,3.4670151108040727e-196,2.0948897514999532e-237,4.383498192640662e-180,1.0,1.3238204842082094e-101,4.66815416963468e-117,3.479006480597822e-108,3.9739841336137096e-49,1.9669045111355273e-91,1.063975505042754e-95,1.5467958680475322e-10,6.580042109693812e-07,1.7329622819124056e-66,4.003244240949927e-06,1.0,2.6386254606506894e-43,2.3936131806999726e-39,1.1649941758734387e-25,2.7912100004003864e-41,9.058661343061253e-15,3.24569867630568e-47,2.5701543558538747e-51,5.085809168836758e-64,2.657237439074212e-29,2.867713945621972e-71,1.0,1.0,1.0,1.0,1.0,7.81639014955395e-26,8.029209712087608e-29,1.4491490006813215e-90,8.655532630904646e-21,2.909918555414884e-43,1.2066831736979295e-102,6.87153472401173e-232,3.730100998591305e-147,1.0,3.099617912660283e-156,4.799456325262744e-168,7.620399108828667e-163,2.474051345801908e-105,3.730100998591305e-147,1.0
SVM (MW - inCV),6.665094629194194e-26,2.2116793308811384e-62,1.3996716841272664e-89,0.0,2.8590622824602477e-51,7.795886213088866e-13,2.8509404866666597e-19,1.8037851920860904e-15,1.0,4.12234942255755e-09,1.3281640025324272e-10,1.4726865715057196e-10,6.314067872292413e-15,1.1230628212961588e-202,4.180278585617675e-16,2.6386254606506894e-43,1.0,1.0,8.515097819498929e-131,1.0,5.056121051494892e-07,4.602220765652612e-171,4.676822346070002e-178,8.621406185611594e-199,3.8179492077430875e-138,4.33695980763326e-210,3.336199245054909e-30,3.6939412065180115e-35,2.5701543558538747e-51,1.44848947292455e-48,4.0191584140156542e-50,3.7169739507189757e-131,3.441918901356535e-137,7.778290731510124e-239,1.8904579333452528e-120,3.531749566929117e-164,3.0411037316193634e-13,8.506692327516757e-86,0.0,1.3019785318078428e-31,7.723696748394425e-39,1.810280839230092e-45,0.0,2.5948453182463534e-14,0.0,2.5609166970276646e-35
SVM (Wilcoxon - inCV),3.4289712990904655e-29,3.010257621781473e-67,2.9352093862328204e-95,0.0,5.514594666653618e-47,3.1949542724482862e-15,3.861092553550086e-22,4.580998601100947e-18,1.0,3.825452334487831e-11,8.231576306643668e-13,1.4111963525856457e-08,1.4732731228442795e-12,5.14063592563058e-195,1.1756347102893493e-13,2.3936131806999726e-39,1.0,1.0,2.61756497401618e-124,1.0,2.2320533519558844e-05,7.276298108100382e-164,9.57432720597041e-171,3.510993128389625e-191,1.6235258339336308e-131,2.4455840928799297e-202,7.31918331326635e-27,1.4190137324062923e-31,4.967755119535268e-47,2.213259826972603e-44,7.020575143578542e-46,1.1617768270499971e-124,1.3987324343165946e-130,9.723955435605525e-231,3.522021086707503e-114,4.388282159709469e-157,1.17314967164375e-15,2.2659534014188449e-91,8.071320485206904e-307,3.3755162426649893e-28,8.981621185513972e-43,1.077591022994015e-49,0.0,8.144001932778486e-17,8.071320485206904e-307,9.992011167585705e-32
SVM (Kruskal - inCV),1.4926319679230538e-253,0.0,0.0,4.4118156347516296e-76,5.613833508771825e-20,4.406131916807078e-215,2.3556860938601226e-235,8.744618044957177e-224,4.628229329513767e-140,2.083542273832552e-201,3.4904529418020775e-207,3.2120409869354504e-69,6.123034848530875e-60,1.993963671172226e-09,9.664520998110463e-58,1.1649941758734387e-25,8.515097819498929e-131,2.61756497401618e-124,1.0,1.6820216968572115e-127,8.42505020191642e-79,0.010212812067537493,0.0006043530221692387,1.8837075515186336e-08,1.0,2.0941575535505796e-11,6.52178166404416e-38,8.958880289206848e-33,6.011957221817931e-20,8.790419293836315e-22,9.990371376089607e-21,1.0,1.0,1.782088715871456e-20,1.0,0.10677479735443758,1.821465437677677e-216,0.0,1.0701012456811614e-53,2.233379333459831e-36,1.5792243815498904e-284,7.339869046418909e-299,3.986165262035889e-64,4.9765967016855126e-220,1.0701012456811614e-53,1.279299540861561e-32
SVM (Chi-square - inCV),1.5304307062108755e-27,8.070528190145018e-65,1.9787256595580744e-92,0.0,4.410574899220382e-49,5.06970196255447e-14,1.071296087051763e-20,9.23147159590722e-17,1.0,4.1890634544728086e-10,1.076402363484342e-11,1.5660655740217896e-09,1.0505003106090778e-13,8.621406185611594e-199,7.564927707671384e-15,2.7912100004003864e-41,1.0,1.0,1.6820216968572115e-127,1.0,3.546728394199865e-06,2.0618655907299292e-167,2.406854704860624e-174,6.224711219226019e-195,8.898616139227898e-135,3.6827900568846464e-206,1.718182348839697e-28,2.535406733948945e-33,3.9739841336137096e-49,1.9768689865874907e-46,5.854731668806315e-48,7.403962036470542e-128,7.806138251498214e-134,9.885348588563274e-235,2.903209436319912e-117,1.403641238668393e-160,1.9105081487698628e-14,1.344696716636008e-88,0.0,7.283252809275741e-30,8.411045153524884e-41,1.3789115561000215e-47,0.0,1.4935445941875105e-15,0.0,1.7690047319584666e-33
